"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1397.4","273","1393.6,4775","1404.4,6112","919","273","3176.7","8061754","","1815.1","3178.3"
"#Citrate_275_heavy","#Citrate_275_heavy","1397.4","273","1393.8,5071","1403.2,5621","930","275","369.83","1008528","","1815.1","3178.3"
"#Fumarate_247_heavy","#Fumarate_245_light","902.4","245","899.4,4684","908,5240","914","245","866.57","2490537","","1364.3","866.89"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.4","245","899.8,4714","906.4,4765","879","247","59.648","184853","","1364.3","866.89"
"#Malate_245_light","#Malate_245_light","1068","233","1064.8,5123","1072.2,5789","978","245","752.04","2055760","","1486.6","884.62"
"#Malate_245_light","#Malate_247_heavy","1068","233","1065.6,4911","1071.8,4937","986","247","86.547","251391","","1486.6","884.62"
"#Sorbitol_323","#Sorbitol_319","1490.6","319","1487,47712","1493,34037","912","319","1258.4","3241624","","1927.0","1392.3"
"#Sorbitol_323","#Sorbitol_323","1490.6","319","1490.4,1354092","1490.8,1335730","912","323","25.631","11309","","1927.0","1392.3"
"#Succinate_247_light","#Succinate_247_light","852.8","129","850.4,5377","855.8,5108","884","247","81.388","231755","","1327.6","41.217"
"#Succinate_247_light","#Succinate_249_heavy","852.8","129","852,7670","853.8,7023","855","249","5.7801","10000","","1327.6","41.217"
"Unknown 1","","350.8","109","","","","","","","","980.39","1432.2"
"Unknown 10","","398.4","76","","","","","","","","1012.1","32.900"
"Unknown 100","","1047.6","71","","","","","","","","1471.5","4962.1"
"Unknown 101","","1049","232","","","","","","","","1472.5","465.49"
"Unknown 102","","1052.6","155","","","","","","","","1475.2","99.770"
"Unknown 103","","1055.6","171","","","","","","","","1477.4","5464.3"
"Unknown 104","","1063.8","179","","","","","","","","1483.5","636.24"
"Unknown 105","","1074.2","233","","","","","","","","1491.1","99.069"
"Unknown 106","","1075.4","163","","","","","","","","1492.0","163.22"
"Unknown 107","","1080","142","","","","","","","","1495.4","78.939"
"Unknown 108","","1085.4","71","","","","","","","","1499.4","2552.8"
"Unknown 109","","1086.4","157","","","","","","","","1500.2","63.242"
"Unknown 11","","431.8","152","","","","","","","","1034.4","487.55"
"Unknown 110","","1089.8","159","","","","","","","","1503.5","319.01"
"Unknown 111","","1090.2","261","","","","","","","","1503.8","51.842"
"Unknown 112","","1091","174","","","","","","","","1504.6","96.142"
"Unknown 113","","1093","206","","","","","","","","1506.5","27.274"
"Unknown 114","","1097.4","195","","","","","","","","1510.8","113.74"
"Unknown 115","","1098.8","217","","","","","","","","1512.1","243.97"
"Unknown 116","","1100.6","176","","","","","","","","1513.9","2643.6"
"Unknown 117","","1105","157","","","","","","","","1518.1","20428"
"Unknown 118","","1106.2","100","","","","","","","","1519.2","2375.6"
"Unknown 119","","1111","140","","","","","","","","1523.9","1076.0"
"Unknown 12","","452.4","174","","","","","","","","1048.2","337.31"
"Unknown 120","","1125.2","155","","","","","","","","1537.5","76.060"
"Unknown 121","","1131.6","134","","","","","","","","1543.7","267.85"
"Unknown 122","","1132.6","174","","","","","","","","1544.7","510.85"
"Unknown 123","","1138.2","292","","","","","","","","1550.0","70.447"
"Unknown 124","","1139.4","205","","","","","","","","1551.2","3017.8"
"Unknown 125","","1144.6","218","","","","","","","","1556.2","1807.9"
"Unknown 126","","1145.4","130","","","","","","","","1557.0","227.70"
"Unknown 127","","1145.8","202","","","","","","","","1557.4","59.131"
"Unknown 128","","1154.8","146","","","","","","","","1566.0","214.77"
"Unknown 129","","1163.2","114","","","","","","","","1574.1","431.29"
"Unknown 13","","458.6","130","","","","","","","","1052.3","54.626"
"Unknown 130","","1164","202","","","","","","","","1574.9","74.763"
"Unknown 131","","1167.8","129","","","","","","","","1578.5","117.06"
"Unknown 132","","1168.8","198","","","","","","","","1579.5","329.62"
"Unknown 133","","1169.2","110","","","","","","","","1579.9","94.688"
"Unknown 134","","1173.6","186","","","","","","","","1584.1","1131.9"
"Unknown 135","","1184.2","71","","","","","","","","1594.3","193.91"
"Unknown 136","","1188.8","188","","","","","","","","1598.7","859.55"
"Unknown 137","","1190.8","211","","","","","","","","1600.7","528.58"
"Unknown 138","","1194.2","274","","","","","","","","1603.9","97.647"
"Unknown 139","","1200.8","73","","","","","","","","1610.3","25.965"
"Unknown 14","","460","166","","","","","","","","1053.2","408.86"
"Unknown 140","","1211.4","246","","","","","","","","1620.5","4200.3"
"Unknown 141","","1216.4","218","","","","","","","","1625.3","4379.2"
"Unknown 142","","1218.6","174","","","","","","","","1627.4","171.49"
"Unknown 143","","1222.8","323","","","","","","","","1631.5","55.088"
"Unknown 144","","1245","323","","","","","","","","1652.8","62.545"
"Unknown 145","","1247.6","192","","","","","","","","1655.3","61.958"
"Unknown 146","","1249","310","","","","","","","","1656.7","156.79"
"Unknown 147","","1249.8","158","","","","","","","","1657.5","648.16"
"Unknown 148","","1255.4","234","","","","","","","","1662.8","26.163"
"Unknown 149","","1258","275","","","","","","","","1665.4","78.206"
"Unknown 15","","461","91","","","","","","","","1053.9","78.422"
"Unknown 150","","1259.6","98","","","","","","","","1666.9","28.394"
"Unknown 151","","1265.6","215","","","","","","","","1672.7","321.43"
"Unknown 152","","1266.6","127","","","","","","","","1673.6","72.120"
"Unknown 153","","1268.8","104","","","","","","","","1675.7","386.50"
"Unknown 154","","1275.2","323","","","","","","","","1681.9","58.461"
"Unknown 155","","1282.8","277","","","","","","","","1689.2","406.98"
"Unknown 156","","1288.6","323","","","","","","","","1694.8","68.006"
"Unknown 157","","1289.2","275","","","","","","","","1695.4","94.434"
"Unknown 158","","1290.8","123","","","","","","","","1696.9","339.20"
"Unknown 159","","1291.8","206","","","","","","","","1697.9","1550.5"
"Unknown 16","","463.6","117","","","","","","","","1055.6","10118"
"Unknown 160","","1293.6","71","","","","","","","","1699.6","2811.3"
"Unknown 161","","1297","218","","","","","","","","1703.3","64.086"
"Unknown 162","","1301.8","160","","","","","","","","1708.7","120.58"
"Unknown 163","","1302.6","242","","","","","","","","1709.6","77.408"
"Unknown 164","","1305.4","162","","","","","","","","1712.7","66.476"
"Unknown 165","","1313","207","","","","","","","","1721.2","37.533"
"Unknown 166","","1323","174","","","","","","","","1732.3","2292.0"
"Unknown 167","","1326.6","220","","","","","","","","1736.3","809.04"
"Unknown 168","","1329","217","","","","","","","","1739.0","434.58"
"Unknown 169","","1331.2","207","","","","","","","","1741.4","37.718"
"Unknown 17","","464","84","","","","","","","","1055.9","63.414"
"Unknown 170","","1339.8","235","","","","","","","","1751.0","149.07"
"Unknown 171","","1347.4","162","","","","","","","","1759.5","53.736"
"Unknown 172","","1350.4","153","","","","","","","","1762.8","60.244"
"Unknown 173","","1351.4","220","","","","","","","","1763.9","525.36"
"Unknown 174","","1353","217","","","","","","","","1765.7","743.28"
"Unknown 175","","1355.8","323","","","","","","","","1768.8","58.858"
