"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1399.72","144","1397.6,4511","1402.4,4656","390","273","18.273","50975","","1817.7","6.4866"
"#Citrate_275_heavy","#Citrate_275_heavy","1399.72","144","1398.8,4949","1402.2,4876","378","275","2.6241","5397.0","BaselineModified","1817.7","6.4866"
"#Fumarate_247_heavy","#Fumarate_245_light","902.6","245","898.4,4596","908,5186","834","245","611.71","1814851","","1364.4","611.98"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.6","245","899.2,4508","905.8,4591","845","247","46.632","136071","","1364.4","611.98"
"#Malate_245_light","#Malate_245_light","1068","233","1063.2,5281","1073.6,5832","968","245","673.89","1930006","","1486.6","1077.1"
"#Malate_245_light","#Malate_247_heavy","1068","233","1065.2,4589","1071.8,4646","973","247","85.817","235137","","1486.6","1077.1"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","852.2","247","849.6,4494","855.4,4532","876","247","69.356","174808","","1327.2","67.540"
"#Succinate_247_light","#Succinate_249_heavy","852.2","247","850,5506","854.4,5393","844","249","7.0625","26381","","1327.2","67.540"
"Unknown 1","","350.6","109","","","","","","","","980.25","1362.7"
"Unknown 10","","461.2","115","","","","","","","","1054.0","84.699"
"Unknown 100","","1080","188","","","","","","","","1495.4","175.80"
"Unknown 101","","1080.2","230","","","","","","","","1495.6","537.98"
"Unknown 102","","1085.4","71","","","","","","","","1499.4","4874.3"
"Unknown 103","","1090","155","","","","","","","","1503.7","297.87"
"Unknown 104","","1092","158","","","","","","","","1505.6","6882.7"
"Unknown 105","","1093.2","205","","","","","","","","1506.7","358.59"
"Unknown 106","","1097.8","195","","","","","","","","1511.2","104.73"
"Unknown 107","","1104.8","217","","","","","","","","1517.9","176.85"
"Unknown 108","","1105.6","157","","","","","","","","1518.7","10895"
"Unknown 109","","1105.8","77","","","","","","","","1518.9","409.35"
"Unknown 11","","462.6","151","","","","","","","","1055.0","48.481"
"Unknown 110","","1128","173","","","","","","","","1540.2","158.97"
"Unknown 111","","1132.2","134","","","","","","","","1544.3","706.77"
"Unknown 112","","1139.6","161","","","","","","","","1551.4","5319.3"
"Unknown 113","","1140","222","","","","","","","","1551.8","172.49"
"Unknown 114","","1141.6","120","","","","","","","","1553.3","4722.2"
"Unknown 115","","1146.4","202","","","","","","","","1557.9","397.53"
"Unknown 116","","1164.6","202","","","","","","","","1575.5","256.20"
"Unknown 117","","1166","290","","","","","","","","1576.8","125.94"
"Unknown 118","","1169","198","","","","","","","","1579.7","202.90"
"Unknown 119","","1170.6","129","","","","","","","","1581.2","75.929"
"Unknown 12","","469","116","","","","","","","","1059.2","92.312"
"Unknown 120","","1174","186","","","","","","","","1584.5","1183.9"
"Unknown 121","","1184.6","71","","","","","","","","1594.7","211.94"
"Unknown 122","","1191.6","211","","","","","","","","1601.4","743.19"
"Unknown 123","","1194.4","71","","","","","","","","1604.1","207.30"
"Unknown 124","","1236.8","117","","","","","","","","1644.9","65.076"
"Unknown 125","","1250.6","158","","","","","","","","1658.2","236.57"
"Unknown 126","","1260.2","140","","","","","","","","1667.5","53.361"
"Unknown 127","","1267.2","127","","","","","","","","1674.2","54.101"
"Unknown 128","","1283","277","","","","","","","","1689.4","612.99"
"Unknown 129","","1285.8","266","","","","","","","","1692.1","90.514"
"Unknown 13","","475.4","139","","","","","","","","1063.5","469.45"
"Unknown 130","","1291.2","123","","","","","","","","1697.3","494.64"
"Unknown 131","","1293.6","71","","","","","","","","1699.6","5130.5"
"Unknown 132","","1302.2","73","","","","","","","","1709.1","50.386"
"Unknown 133","","1304.8","242","","","","","","","","1712.0","56.920"
"Unknown 134","","1318.8","73","","","","","","","","1727.6","43.940"
"Unknown 135","","1322.6","215","","","","","","","","1731.8","164.65"
"Unknown 136","","1330.4","217","","","","","","","","1740.5","423.72"
"Unknown 137","","1342","205","","","","","","","","1753.5","69.917"
"Unknown 138","","1343.6","231","","","","","","","","1755.2","57.592"
"Unknown 139","","1351.2","153","","","","","","","","1763.7","53.938"
"Unknown 14","","480","119","","","","","","","","1066.6","34.850"
"Unknown 140","","1357.6","217","","","","","","","","1770.8","771.37"
"Unknown 141","","1374.4","217","","","","","","","","1789.5","127.20"
"Unknown 142","","1387.6","71","","","","","","","","1804.2","88.188"
"Unknown 143","","1408.4","587","","","","","","","","1827.4","16.875"
"Unknown 144","","1410.2","218","","","","","","","","1829.4","1053.0"
"Unknown 145","","1418.4","226","","","","","","","","1838.5","225.88"
"Unknown 146","","1420.6","235","","","","","","","","1841.0","565.08"
"Unknown 147","","1425.2","271","","","","","","","","1846.1","373.95"
"Unknown 148","","1430.8","235","","","","","","","","1852.3","247.80"
"Unknown 149","","1435.4","320","","","","","","","","1857.5","690.27"
"Unknown 15","","485","173","","","","","","","","1069.9","59.814"
"Unknown 150","","1439.4","104","","","","","","","","1861.9","474.79"
"Unknown 151","","1439.8","156","","","","","","","","1862.4","192.86"
"Unknown 152","","1443","206","","","","","","","","1865.9","81.051"
"Unknown 153","","1447.4","319","","","","","","","","1870.8","156.41"
"Unknown 154","","1450.6","319","","","","","","","","1874.4","135.71"
"Unknown 155","","1452.8","235","","","","","","","","1876.8","37.401"
"Unknown 156","","1453.4","248","","","","","","","","1877.5","871.61"
"Unknown 157","","1458.6","78","","","","","","","","1883.3","79.440"
"Unknown 158","","1460.2","96","","","","","","","","1885.1","142.05"
"Unknown 159","","1461.2","389","","","","","","","","1886.2","128.20"
"Unknown 16","","511","156","","","","","","","","1087.3","486.32"
"Unknown 160","","1462.2","78","","","","","","","","1887.3","55.084"
"Unknown 161","","1471","294","","","","","","","","1897.1","1178.4"
"Unknown 162","","1472.2","555","","","","","","","","1898.4","1826.4"
"Unknown 163","","1473","316","","","","","","","","1899.3","297.95"
