"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1398","273","1394.2,4870","1406.8,5578","893","273","2242.1","6188270","","1815.8","2190.8"
"#Citrate_275_heavy","#Citrate_275_heavy","1398","273","1394.2,4583","1403.4,5163","920","275","251.67","692926","","1815.8","2190.8"
"#Fumarate_247_heavy","#Fumarate_245_light","903","245","899.8,4514","909.4,4717","898","245","404.45","1643322","","1364.7","395.58"
"#Fumarate_247_heavy","#Fumarate_247_heavy","903","245","900.4,4419","906.4,4445","884","247","35.354","122798","","1364.7","395.58"
"#Malate_245_light","#Malate_245_light","1069.8","245","1067,5047","1073.4,5387","939","245","385.34","1282634","","1487.9","374.53"
"#Malate_245_light","#Malate_247_heavy","1069.8","245","1067,4475","1073,4548","944","247","46.708","156735","","1487.9","374.53"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323","#Sorbitol_319","1491.6","235","1490.8,1715341","1495,1480619","789","319","700.54","2761791","","1928.6","56.022"
"#Sorbitol_323","#Sorbitol_323","1491.6","235","1490.4,215547","1496.2,179635","789","323","123.32","441750","","1928.6","56.022"
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","852.2","247","850,4471","857.2,4463","841","247","45.823","190165","","1327.2","45.820"
"#Succinate_247_light","#Succinate_249_heavy","852.2","247","851.6,8440","855.4,6027","803","249","10.220","19765","","1327.2","45.820"
"Unknown 1","","350.4","77","","","","","","","","980.12","91.618"
"Unknown 10","","382.4","71","","","","","","","","1001.5","1149.5"
"Unknown 100","","1093.6","147","","","","","","","","1507.1","130.97"
"Unknown 101","","1094.8","299","","","","","","","","1508.3","60.764"
"Unknown 102","","1097.6","195","","","","","","","","1511.0","90.466"
"Unknown 103","","1101.8","176","","","","","","","","1515.0","2088.9"
