"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1399.4","273","1394.8,5267","1406.4,7368","884","273","3009.4","7927317","","1817.4","3013.7"
"#Citrate_275_heavy","#Citrate_275_heavy","1399.4","273","1396.4,4671","1404.8,4798","901","275","265.92","690303","","1817.4","3013.7"
"#Fumarate_247_heavy","#Fumarate_245_light","902.4","245","899.4,4479","907.4,4554","907","245","1053.7","3565838","","1364.3","1018.3"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.4","245","899.6,4303","906.4,4447","892","247","84.643","275701","","1364.3","1018.3"
"#Malate_245_light","#Malate_245_light","1067.8","233","1064.6,4763","1073.8,4961","957","245","1143.0","3271403","","1486.4","1792.5"
"#Malate_245_light","#Malate_247_heavy","1067.8","233","1065.4,4344","1071.2,4434","964","247","140.39","379469","","1486.4","1792.5"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323","#Sorbitol_319","1491.2","421","1490.2,2012872","1493.6,1603210","692","319","762.08","2256220","","1928.0","41.765"
"#Sorbitol_323","#Sorbitol_323","1491.2","421","1489.8,16188","1492.6,14129","692","323","11.261","20222","","1928.0","41.765"
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","853.4","247","849,4265","857.8,4269","729","247","99.950","333973","","1328.1","99.281"
"#Succinate_247_light","#Succinate_249_heavy","853.4","247","852.6,4808","853.8,4771","677","249","11.264","15223","","1328.1","99.281"
"Unknown 1","","351.4","221","","","","","","","","980.79","861.86"
"Unknown 10","","380.2","71","","","","","","","","1000.0","2178.7"
"Unknown 100","","962.8","255","","","","","","","","1408.9","59.821"
"Unknown 101","","966.4","71","","","","","","","","1411.5","195.85"
"Unknown 102","","968.2","160","","","","","","","","1412.9","225.96"
"Unknown 103","","978.6","104","","","","","","","","1420.5","225.89"
"Unknown 104","","982.2","234","","","","","","","","1423.2","633.56"
"Unknown 105","","995.6","130","","","","","","","","1433.1","338.79"
"Unknown 106","","996.4","104","","","","","","","","1433.7","129.24"
"Unknown 107","","998.6","174","","","","","","","","1435.3","216.23"
"Unknown 108","","1000.2","161","","","","","","","","1436.5","47.801"
"Unknown 109","","1005.4","130","","","","","","","","1440.3","59.219"
"Unknown 11","","385.8","147","","","","","","","","1003.7","53.042"
"Unknown 110","","1011.6","243","","","","","","","","1444.9","94.196"
"Unknown 111","","1017.4","160","","","","","","","","1449.2","79.310"
"Unknown 112","","1020.4","217","","","","","","","","1451.4","263.15"
"Unknown 113","","1046.2","131","","","","","","","","1470.5","32.238"
"Unknown 114","","1047.4","71","","","","","","","","1471.3","6446.5"
"Unknown 115","","1048.6","218","","","","","","","","1472.2","160.76"
"Unknown 116","","1054.6","171","","","","","","","","1476.7","12098"
"Unknown 117","","1057","160","","","","","","","","1478.4","53.672"
"Unknown 118","","1059.6","433","","","","","","","","1480.4","50.782"
"Unknown 119","","1063.8","179","","","","","","","","1483.5","1441.2"
"Unknown 12","","429.6","152","","","","","","","","1033.0","957.13"
"Unknown 120","","1073","148","","","","","","","","1490.3","33.295"
"Unknown 121","","1075.2","163","","","","","","","","1491.9","396.22"
"Unknown 122","","1079.2","144","","","","","","","","1494.8","93.425"
"Unknown 123","","1080","230","","","","","","","","1495.4","220.65"
"Unknown 124","","1085","71","","","","","","","","1499.1","4510.9"
"Unknown 125","","1086.4","84","","","","","","","","1500.2","3053.2"
"Unknown 126","","1087.8","134","","","","","","","","1501.5","72.389"
"Unknown 127","","1089.4","261","","","","","","","","1503.1","99.963"
"Unknown 128","","1089.8","155","","","","","","","","1503.5","299.56"
"Unknown 129","","1091.4","176","","","","","","","","1505.0","70.490"
"Unknown 13","","435.2","82","","","","","","","","1036.7","100.77"
"Unknown 130","","1092.6","205","","","","","","","","1506.2","226.50"
"Unknown 131","","1097.4","195","","","","","","","","1510.8","216.76"
"Unknown 132","","1099.8","233","","","","","","","","1513.1","50.388"
"Unknown 133","","1100.6","178","","","","","","","","1513.9","145.74"
"Unknown 134","","1102","217","","","","","","","","1515.2","219.23"
"Unknown 135","","1104.8","191","","","","","","","","1517.9","62.049"
"Unknown 136","","1105.2","157","","","","","","","","1518.3","22108"
"Unknown 137","","1107.8","233","","","","","","","","1520.8","850.51"
"Unknown 138","","1108.6","240","","","","","","","","1521.6","729.89"
"Unknown 139","","1112.8","140","","","","","","","","1525.6","459.06"
"Unknown 14","","451","175","","","","","","","","1047.2","45.671"
"Unknown 140","","1117.6","170","","","","","","","","1530.2","47.523"
"Unknown 141","","1122.6","174","","","","","","","","1535.0","696.81"
"Unknown 142","","1123.6","185","","","","","","","","1536.0","90.567"
"Unknown 143","","1126.6","173","","","","","","","","1538.9","199.90"
"Unknown 144","","1131.8","134","","","","","","","","1543.9","751.44"
"Unknown 145","","1133.8","245","","","","","","","","1545.8","55.222"
"Unknown 146","","1134.8","218","","","","","","","","1546.8","49.678"
"Unknown 147","","1139","146","","","","","","","","1550.8","1652.5"
"Unknown 148","","1139.4","161","","","","","","","","1551.2","5164.6"
"Unknown 149","","1145.8","218","","","","","","","","1557.4","489.91"
"Unknown 15","","458.4","115","","","","","","","","1052.2","88.872"
