"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1399.72","273","1397.6,4835","1401.4,4883","282","273","13.983","37305","","1817.7","13.980"
"#Citrate_275_heavy","#Citrate_275_heavy","1399.72","273","1399,4848","1400.6,4859","304","275","2.8413","3004.6","","1817.7","13.980"
"#Fumarate_247_heavy","#Fumarate_245_light","901.8","245","897.4,4315","907,5674","901","245","861.01","2552909","","1363.8","851.52"
"#Fumarate_247_heavy","#Fumarate_247_heavy","901.8","245","899,4712","905.2,4692","900","247","64.276","190316","","1363.8","851.52"
"#Malate_245_light","#Malate_245_light","1067.6","233","1063.6,5689","1071.2,5915","974","245","811.85","2017074","","1486.3","1274.7"
"#Malate_245_light","#Malate_247_heavy","1067.6","233","1065,4641","1071.4,4666","978","247","96.427","251966","","1486.3","1274.7"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323","#Sorbitol_319","1491.6","421","1491.4,2834242","1493.4,2380657","775","319","353.10","813083","","1928.6","26.876"
"#Sorbitol_323","#Sorbitol_323","1491.6","421","1491.2,21060","1495,16193","775","323","8.4594","18645","","1928.6","26.876"
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","852.6","147","849.6,4627","856.4,4687","880","247","64.511","168492","","1327.5","67.842"
"#Succinate_247_light","#Succinate_249_heavy","852.6","147","851.4,5797","854.4,5660","866","249","5.1047","12487","","1327.5","67.842"
"Unknown 1","","352.2","132","","","","","","","","981.32","278.65"
"Unknown 10","","381.4","71","","","","","","","","1000.8","1839.0"
"Unknown 100","","1079.4","144","","","","","","","","1495.0","198.08"
"Unknown 101","","1080.2","230","","","","","","","","1495.6","412.88"
"Unknown 102","","1085","71","","","","","","","","1499.1","4743.9"
"Unknown 103","","1090","216","","","","","","","","1503.7","94.420"
"Unknown 104","","1091.6","174","","","","","","","","1505.2","177.61"
"Unknown 105","","1093","205","","","","","","","","1506.5","299.61"
"Unknown 106","","1094","116","","","","","","","","1507.5","2381.1"
"Unknown 107","","1097.8","195","","","","","","","","1511.2","136.97"
"Unknown 108","","1104","205","","","","","","","","1517.1","61.444"
"Unknown 109","","1105.2","111","","","","","","","","1518.3","254.64"
"Unknown 11","","406.2","153","","","","","","","","1017.3","83.431"
"Unknown 110","","1106","156","","","","","","","","1519.1","34939"
"Unknown 111","","1127.8","173","","","","","","","","1540.0","152.75"
"Unknown 112","","1132.2","134","","","","","","","","1544.3","568.40"
"Unknown 113","","1133.8","117","","","","","","","","1545.8","139.56"
"Unknown 114","","1134.6","245","","","","","","","","1546.6","47.694"
"Unknown 115","","1139","120","","","","","","","","1550.8","9261.4"
"Unknown 116","","1139.4","161","","","","","","","","1551.2","5349.4"
"Unknown 117","","1146.2","202","","","","","","","","1557.7","693.31"
"Unknown 118","","1164.4","202","","","","","","","","1575.3","477.29"
"Unknown 119","","1165.6","114","","","","","","","","1576.4","365.49"
"Unknown 12","","425.8","152","","","","","","","","1030.4","63.661"
"Unknown 120","","1168.8","198","","","","","","","","1579.5","197.78"
"Unknown 121","","1170.2","129","","","","","","","","1580.8","103.78"
"Unknown 122","","1173.8","186","","","","","","","","1584.3","1424.3"
"Unknown 123","","1184.6","71","","","","","","","","1594.7","119.74"
"Unknown 124","","1191.6","212","","","","","","","","1601.4","314.45"
"Unknown 125","","1194.2","71","","","","","","","","1603.9","239.83"
"Unknown 126","","1224.6","248","","","","","","","","1633.2","122.65"
"Unknown 127","","1236.2","117","","","","","","","","1644.4","145.67"
"Unknown 128","","1250.4","158","","","","","","","","1658.0","537.48"
"Unknown 129","","1260","140","","","","","","","","1667.3","77.044"
"Unknown 13","","430.4","152","","","","","","","","1033.5","744.46"
"Unknown 130","","1267.4","127","","","","","","","","1674.4","55.299"
"Unknown 131","","1282.8","277","","","","","","","","1689.2","653.49"
"Unknown 132","","1285","266","","","","","","","","1691.3","250.72"
"Unknown 133","","1291","97","","","","","","","","1697.1","1732.3"
"Unknown 134","","1293.4","71","","","","","","","","1699.4","4533.9"
"Unknown 135","","1299","185","","","","","","","","1705.6","173.97"
"Unknown 136","","1301.2","246","","","","","","","","1708.0","63.908"
"Unknown 137","","1304.4","242","","","","","","","","1711.6","104.67"
"Unknown 138","","1316","185","","","","","","","","1724.5","105.05"
"Unknown 139","","1316.6","142","","","","","","","","1725.2","24.518"
"Unknown 14","","455.2","174","","","","","","","","1050.0","190.50"
"Unknown 140","","1320.8","215","","","","","","","","1729.8","177.10"
"Unknown 141","","1329.8","217","","","","","","","","1739.9","483.36"
"Unknown 142","","1336.4","162","","","","","","","","1747.2","80.277"
"Unknown 143","","1341.2","205","","","","","","","","1752.6","89.093"
"Unknown 144","","1342.8","231","","","","","","","","1754.3","50.852"
"Unknown 145","","1351","153","","","","","","","","1763.5","70.854"
"Unknown 146","","1351.6","179","","","","","","","","1764.1","46.247"
"Unknown 147","","1356.8","217","","","","","","","","1769.9","1001.5"
"Unknown 148","","1362","215","","","","","","","","1775.7","82.567"
"Unknown 149","","1367.4","429","","","","","","","","1781.7","52.617"
"Unknown 15","","460.8","115","","","","","","","","1053.8","71.715"
"Unknown 150","","1374","217","","","","","","","","1789.1","407.13"
"Unknown 151","","1376.6","194","","","","","","","","1792.0","57.434"
"Unknown 152","","1387.4","71","","","","","","","","1804.0","105.56"
"Unknown 153","","1393.8","223","","","","","","","","1811.1","53.207"
"Unknown 154","","1407.2","160","","","","","","","","1826.1","450.58"
"Unknown 155","","1410","218","","","","","","","","1829.2","1099.8"
"Unknown 156","","1413.4","147","","","","","","","","1833.0","184.50"
"Unknown 157","","1418.4","226","","","","","","","","1838.5","234.81"
"Unknown 158","","1418.8","347","","","","","","","","1839.0","67.826"
"Unknown 159","","1420.4","235","","","","","","","","1840.8","714.76"
"Unknown 16","","462.8","91","","","","","","","","1055.1","50.353"
"Unknown 160","","1425","186","","","","","","","","1845.9","1070.3"
"Unknown 161","","1435.6","214","","","","","","","","1857.7","164.89"
"Unknown 162","","1435.8","235","","","","","","","","1857.9","144.10"
"Unknown 163","","1439","364","","","","","","","","1861.5","66.903"
"Unknown 164","","1439.8","156","","","","","","","","1862.4","232.89"
"Unknown 165","","1443.6","162","","","","","","","","1866.6","43.286"
"Unknown 166","","1447.8","235","","","","","","","","1871.3","68.281"
"Unknown 167","","1456.6","361","","","","","","","","1881.1","371.35"
"Unknown 168","","1458.2","78","","","","","","","","1882.9","76.944"
"Unknown 169","","1461","389","","","","","","","","1886.0","130.62"
"Unknown 17","","466.4","117","","","","","","","","1057.5","2919.4"
"Unknown 170","","1461.2","179","","","","","","","","1886.2","2944.2"
"Unknown 171","","1462.4","79","","","","","","","","1887.5","60.582"
"Unknown 172","","1465.4","436","","","","","","","","1890.9","119.28"
"Unknown 173","","1471.8","279","","","","","","","","1898.0","3287.8"
"Unknown 174","","1473.6","316","","","","","","","","1900.0","322.07"
"Unknown 175","","1475.8","71","","","","","","","","1903.5","3987.6"
"Unknown 176","","1476","179","","","","","","","","1903.8","3650.2"
"Unknown 177","","1478.2","94","","","","","","","","1907.3","455.98"
"Unknown 178","","1480.6","390","","","","","","","","1911.1","621.16"
"Unknown 179","","1482.8","235","","","","","","","","1914.6","16253"
"Unknown 18","","476","83","","","","","","","","1063.9","33.980"
"Unknown 180","","1483.4","86","","","","","","","","1915.6","420.45"
"Unknown 181","","1483.8","78","","","","","","","","1916.2","343.30"
"Unknown 182","","1485.2","503","","","","","","","","1918.5","36.126"
"Unknown 183","","1496.8","410","","","","","","","","1936.9","69.127"
"Unknown 184","","1497.2","264","","","","","","","","1937.5","52.122"
"Unknown 185","","1497.6","593","","","","","","","","1938.2","87.645"
"Unknown 186","","1502.8","109","","","","","","","","1946.4","172.35"
"Unknown 187","","1510.8","361","","","","","","","","1959.2","161.10"
"Unknown 188","","1511.4","97","","","","","","","","1960.1","129.58"
"Unknown 189","","1515","71","","","","","","","","1965.9","69.827"
"Unknown 19","","479.4","168","","","","","","","","1066.2","533.76"
"Unknown 190","","1517","361","","","","","","","","1969.0","208.63"
"Unknown 191","","1519.4","136","","","","","","","","1972.9","83.079"
"Unknown 192","","1524","206","","","","","","","","1980.2","34544"
"Unknown 193","","1524.4","262","","","","","","","","1980.8","106.97"
"Unknown 194","","1534.4","333","","","","","","","","1996.7","225.56"
"Unknown 195","","1535.2","247","","","","","","","","1998.0","354.88"
"Unknown 196","","1542.6","105","","","","","","","","2009.8","13.726"
"Unknown 197","","1545.6","292","","","","","","","","2014.5","64.746"
"Unknown 198","","1546.6","88","","","","","","","","2016.1","452.03"
"Unknown 199","","1556","220","","","","","","","","2031.1","36139"
"Unknown 2","","357.4","171","","","","","","","","984.79","109.79"
"Unknown 20","","479.8","221","","","","","","","","1066.4","38.549"
"Unknown 200","","1562","162","","","","","","","","2040.6","36.143"
"Unknown 201","","1564.6","123","","","","","","","","2044.8","26.491"
"Unknown 202","","1567.2","149","","","","","","","","2048.9","222.99"
"Unknown 203","","1572","110","","","","","","","","2056.5","75.786"
"Unknown 204","","1573.4","313","","","","","","","","2058.7","1795.9"
"Unknown 205","","1584","281","","","","","","","","2075.6","34.869"
"Unknown 206","","1587.2","259","","","","","","","","2080.7","34.817"
"Unknown 207","","1591.2","204","","","","","","","","2087.1","28607"
"Unknown 208","","1592","305","","","","","","","","2088.3","4903.6"
"Unknown 209","","1594.6","87","","","","","","","","2092.5","68.085"
"Unknown 21","","485","173","","","","","","","","1069.9","65.172"
"Unknown 210","","1600.2","229","","","","","","","","2101.4","28.749"
"Unknown 211","","1605.6","112","","","","","","","","2110.0","831.84"
"Unknown 212","","1606.6","133","","","","","","","","2111.6","20.126"
"Unknown 213","","1609.2","96","","","","","","","","2115.7","66.289"
"Unknown 214","","1619.6","149","","","","","","","","2132.2","37.272"
"Unknown 215","","1623.2","151","","","","","","","","2138.0","122.44"
"Unknown 216","","1624.8","98","","","","","","","","2140.5","29.151"
