"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1399.4","273","1395.4,4536","1404.6,4731","911","273","794.54","2206434","","1817.4","785.27"
"#Citrate_275_heavy","#Citrate_275_heavy","1399.4","273","1396.4,4610","1403.6,4695","912","275","105.86","326101","","1817.4","785.27"
"#Fumarate_247_heavy","#Fumarate_245_light","903.4","245","900.2,4342","909.2,4583","930","245","692.44","1984295","","1365.0","691.56"
"#Fumarate_247_heavy","#Fumarate_247_heavy","903.4","245","900.2,4343","906.4,4603","917","247","47.450","155256","BaselineModified","1365.0","691.56"
"#Malate_245_light","#Malate_245_light","1069.2","233","1066.4,4550","1073.6,4797","964","245","427.72","1465198","","1487.4","535.43"
"#Malate_245_light","#Malate_247_heavy","1069.2","233","1066.6,4486","1072.8,4496","964","247","45.909","172209","","1487.4","535.43"
"#Sorbitol_323","#Sorbitol_319","1490.4","319","1488.2,29503","1493.2,17903","638","319","507.88","1301273","BaselineModified","1926.7","566.43"
"#Sorbitol_323","#Sorbitol_323","1490.4","319","1490.2,837440","1490.6,824161","638","323","27.804","10147","","1926.7","566.43"
"#Succinate_249_heavy","#Succinate_247_light","854.8","247","851.8,4822","857.2,4693","862","247","32.342","98192","","1329.1","32.338"
"#Succinate_249_heavy","#Succinate_249_heavy","854.8","247","852.8,5928","857.2,5034","868","249","1.6067","3171.7","BaselineModified","1329.1","32.338"
"Unknown 1","","351.2","77","","","","","","","","980.65","429.99"
"Unknown 10","","386.2","117","","","","","","","","1004.0","77.184"
"Unknown 100","","1001.6","174","","","","","","","","1437.5","251.55"
"Unknown 101","","1006.2","160","","","","","","","","1440.9","149.41"
"Unknown 102","","1015.6","160","","","","","","","","1447.9","340.62"
"Unknown 103","","1046.6","171","","","","","","","","1470.8","97.372"
"Unknown 104","","1048","71","","","","","","","","1471.8","1727.6"
"Unknown 105","","1049.4","218","","","","","","","","1472.8","81.674"
"Unknown 106","","1053.8","155","","","","","","","","1476.1","121.84"
"Unknown 107","","1055.4","171","","","","","","","","1477.3","1761.3"
"Unknown 108","","1058.2","131","","","","","","","","1479.3","142.49"
"Unknown 109","","1063.6","179","","","","","","","","1483.3","574.37"
"Unknown 11","","388.6","70","","","","","","","","1005.6","101.57"
"Unknown 110","","1076","163","","","","","","","","1492.5","231.50"
"Unknown 111","","1081","230","","","","","","","","1496.2","57.467"
"Unknown 112","","1086.2","71","","","","","","","","1500.0","3919.2"
"Unknown 113","","1086.6","84","","","","","","","","1500.4","1854.8"
"Unknown 114","","1090.6","159","","","","","","","","1504.2","314.59"
"Unknown 115","","1091.2","256","","","","","","","","1504.8","35.617"
"Unknown 116","","1092","142","","","","","","","","1505.6","36.688"
"Unknown 117","","1093.6","205","","","","","","","","1507.1","216.95"
"Unknown 118","","1097.8","195","","","","","","","","1511.2","121.35"
"Unknown 119","","1101.2","293","","","","","","","","1514.4","78.436"
"Unknown 12","","391.8","134","","","","","","","","1007.7","47.830"
"Unknown 120","","1104","205","","","","","","","","1517.1","48.228"
"Unknown 121","","1105.2","157","","","","","","","","1518.3","14420"
"Unknown 122","","1107.2","187","","","","","","","","1520.2","57.400"
"Unknown 123","","1108","233","","","","","","","","1521.0","350.90"
"Unknown 124","","1110.2","185","","","","","","","","1523.1","80.489"
"Unknown 125","","1113","140","","","","","","","","1525.8","344.04"
"Unknown 126","","1117","174","","","","","","","","1529.6","52.490"
"Unknown 127","","1123.6","185","","","","","","","","1536.0","42.197"
"Unknown 128","","1126.6","97","","","","","","","","1538.9","65.356"
"Unknown 129","","1129","174","","","","","","","","1541.2","82.172"
"Unknown 13","","392.4","173","","","","","","","","1008.1","52.495"
"Unknown 130","","1132","134","","","","","","","","1544.1","276.26"
"Unknown 131","","1133.2","276","","","","","","","","1545.2","44.441"
"Unknown 132","","1133.8","117","","","","","","","","1545.8","78.731"
"Unknown 133","","1136.2","100","","","","","","","","1548.1","38.049"
"Unknown 134","","1138.6","292","","","","","","","","1550.4","54.080"
"Unknown 135","","1139.4","222","","","","","","","","1551.2","57.651"
"Unknown 136","","1139.6","205","","","","","","","","1551.4","3431.8"
"Unknown 137","","1146.8","218","","","","","","","","1558.3","231.44"
"Unknown 138","","1147.8","120","","","","","","","","1559.3","588.89"
"Unknown 139","","1159.8","131","","","","","","","","1570.8","74.763"
"Unknown 14","","396.4","77","","","","","","","","1010.8","63.065"
"Unknown 140","","1166.4","114","","","","","","","","1577.2","299.35"
"Unknown 141","","1169.8","198","","","","","","","","1580.5","219.94"
"Unknown 142","","1174.6","142","","","","","","","","1585.1","487.01"
"Unknown 143","","1185.2","71","","","","","","","","1595.3","320.54"
"Unknown 144","","1190","188","","","","","","","","1599.9","732.00"
"Unknown 145","","1191.2","369","","","","","","","","1601.1","261.09"
"Unknown 146","","1194.8","85","","","","","","","","1604.5","58.298"
"Unknown 147","","1211.6","246","","","","","","","","1620.7","6251.5"
