"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_273_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Citrate_273_light","","","","","500","273","","","","",""
"#Citrate_275_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Citrate_275_heavy","","","","","500","275","","","","",""
"#Fumarate_247_heavy","#Fumarate_245_light","901.4","245","896.4,4711","907.4,5267","906","245","591.78","1834770","","1363.5","592.26"
"#Fumarate_247_heavy","#Fumarate_247_heavy","901.4","245","897.6,4644","904.8,4617","904","247","45.958","136026","","1363.5","592.26"
"#Malate_245_light","#Malate_245_light","1067.8","73","1063.2,5708","1071,5977","979","245","592.56","1636963","","1486.4","757.64"
"#Malate_245_light","#Malate_247_heavy","1067.8","73","1065.6,4572","1071,4688","986","247","70.021","191630","","1486.4","757.64"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","853.2","247","849.8,4609","856,4623","868","247","47.133","130572","","1327.9","47.096"
"#Succinate_247_light","#Succinate_249_heavy","853.2","247","851.4,5933","853.8,5962","839","249","5.5122","8206.9","","1327.9","47.096"
"Unknown 1","","350.4","109","","","","","","","","980.12","250.34"
"Unknown 10","","368.6","73","","","","","","","","992.26","14.432"
"Unknown 100","","1085.4","71","","","","","","","","1499.4","4811.2"
"Unknown 101","","1086.8","113","","","","","","","","1500.6","795.54"
"Unknown 102","","1090","216","","","","","","","","1503.7","88.248"
"Unknown 103","","1091.8","261","","","","","","","","1505.4","139.45"
"Unknown 104","","1093.2","205","","","","","","","","1506.7","318.62"
"Unknown 105","","1097.8","195","","","","","","","","1511.2","142.00"
"Unknown 106","","1105.8","157","","","","","","","","1518.9","8772.5"
"Unknown 107","","1128","173","","","","","","","","1540.2","169.51"
"Unknown 108","","1132.2","134","","","","","","","","1544.3","375.18"
"Unknown 109","","1134","117","","","","","","","","1546.0","57.855"
"Unknown 11","","373.2","75","","","","","","","","995.33","938.16"
"Unknown 110","","1139.6","161","","","","","","","","1551.4","5496.6"
"Unknown 111","","1140","120","","","","","","","","1551.8","5444.8"
"Unknown 112","","1146.8","202","","","","","","","","1558.3","297.72"
"Unknown 113","","1165","304","","","","","","","","1575.8","23.543"
"Unknown 114","","1167","114","","","","","","","","1577.8","230.52"
"Unknown 115","","1169.2","198","","","","","","","","1579.9","163.15"
"Unknown 116","","1170.6","129","","","","","","","","1581.2","79.478"
"Unknown 117","","1174.2","186","","","","","","","","1584.7","720.37"
"Unknown 118","","1185","71","","","","","","","","1595.1","175.10"
"Unknown 119","","1192.6","211","","","","","","","","1602.4","589.75"
"Unknown 12","","374.6","117","","","","","","","","996.26","206.50"
"Unknown 120","","1194.2","71","","","","","","","","1603.9","245.89"
"Unknown 121","","1247.6","204","","","","","","","","1655.3","62.962"
"Unknown 122","","1250.6","158","","","","","","","","1658.2","233.51"
"Unknown 123","","1260.2","140","","","","","","","","1667.5","59.195"
"Unknown 124","","1283","277","","","","","","","","1689.4","625.45"
"Unknown 125","","1285.4","266","","","","","","","","1691.7","94.588"
"Unknown 126","","1291.2","123","","","","","","","","1697.3","508.53"
"Unknown 127","","1293.4","71","","","","","","","","1699.4","5188.2"
"Unknown 128","","1295","217","","","","","","","","1701.1","41.522"
"Unknown 129","","1298.8","185","","","","","","","","1705.3","57.036"
"Unknown 13","","381.2","71","","","","","","","","1000.7","2716.3"
"Unknown 130","","1301.8","103","","","","","","","","1708.7","36.746"
"Unknown 131","","1305","242","","","","","","","","1712.2","71.312"
"Unknown 132","","1306.2","147","","","","","","","","1713.6","81.283"
"Unknown 133","","1318.8","129","","","","","","","","1727.6","41.248"
"Unknown 134","","1322.6","217","","","","","","","","1731.8","61.328"
"Unknown 135","","1323.4","215","","","","","","","","1732.7","58.218"
"Unknown 136","","1330","217","","","","","","","","1740.1","718.08"
"Unknown 137","","1330.2","205","","","","","","","","1740.3","43.828"
"Unknown 138","","1336.4","117","","","","","","","","1747.2","99.846"
