"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1398","273","1394.6,4648","1403.6,5742","958","273","1357.4","3403176","BaselineModified","1815.8","1348.7"
"#Citrate_275_heavy","#Citrate_275_heavy","1398","273","1393.6,4744","1402.6,5075","888","275","412.27","1136205","","1815.8","1348.7"
"#Fumarate_247_heavy","#Fumarate_245_light","902.6","245","900,4534","906.6,5161","915","245","700.28","1939874","","1364.4","701.06"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.6","245","900.6,4538","907,4639","897","247","50.002","150334","","1364.4","701.06"
"#Malate_245_light","#Malate_245_light","1068.2","233","1065.2,5061","1072.6,5337","974","245","559.94","1571222","","1486.7","688.46"
"#Malate_245_light","#Malate_247_heavy","1068.2","233","1065.8,4702","1070.8,4752","981","247","65.338","180363","","1486.7","688.46"
"#Sorbitol_323","#Sorbitol_319","1490.8","319","1488.4,24087","1492.8,19055","874","319","827.14","1856722","BaselineModified","1927.4","888.59"
"#Sorbitol_323","#Sorbitol_323","1490.8","319","1490.6,1289242","1491,1268179","874","323","9.7433","5119.7","","1927.4","888.59"
"#Succinate_247_light","#Succinate_247_light","853","247","850.6,4987","856.4,4884","793","247","51.334","145848","","1327.8","51.758"
"#Succinate_247_light","#Succinate_249_heavy","853","247","851.6,6273","855,6008","753","249","6.8588","19314","","1327.8","51.758"
"Unknown 1","","351","77","","","","","","","","980.52","348.16"
"Unknown 10","","383.2","86","","","","","","","","1002.0","49.934"
"Unknown 100","","1016.4","160","","","","","","","","1448.4","450.53"
"Unknown 101","","1024","128","","","","","","","","1454.1","54.133"
"Unknown 102","","1033.2","128","","","","","","","","1460.9","165.02"
"Unknown 103","","1041.8","142","","","","","","","","1467.2","111.04"
"Unknown 104","","1045","171","","","","","","","","1469.6","205.62"
"Unknown 105","","1047.6","71","","","","","","","","1471.5","3047.0"
"Unknown 106","","1049","218","","","","","","","","1472.5","439.46"
"Unknown 107","","1053.2","155","","","","","","","","1475.6","152.89"
"Unknown 108","","1055.8","171","","","","","","","","1477.5","1230.5"
"Unknown 109","","1056.6","72","","","","","","","","1478.1","69.471"
"Unknown 11","","385.4","117","","","","","","","","1003.5","60.153"
"Unknown 110","","1063.8","179","","","","","","","","1483.5","954.89"
"Unknown 111","","1074.6","233","","","","","","","","1491.4","88.912"
"Unknown 112","","1075.8","163","","","","","","","","1492.3","225.28"
"Unknown 113","","1079.6","188","","","","","","","","1495.1","83.444"
"Unknown 114","","1080.2","230","","","","","","","","1495.6","308.80"
"Unknown 115","","1085.8","71","","","","","","","","1499.7","3015.8"
"Unknown 116","","1086.4","84","","","","","","","","1500.2","1227.5"
"Unknown 117","","1090","159","","","","","","","","1503.7","323.36"
"Unknown 118","","1090.8","174","","","","","","","","1504.4","75.076"
"Unknown 119","","1093.2","205","","","","","","","","1506.7","240.05"
"Unknown 12","","388.4","71","","","","","","","","1005.5","341.72"
"Unknown 120","","1097.6","195","","","","","","","","1511.0","55.074"
"Unknown 121","","1100.2","232","","","","","","","","1513.5","347.95"
"Unknown 122","","1100.6","178","","","","","","","","1513.9","474.35"
"Unknown 123","","1105.2","157","","","","","","","","1518.3","21755"
"Unknown 124","","1106.4","232","","","","","","","","1519.4","4686.9"
"Unknown 125","","1111","304","","","","","","","","1523.9","18.640"
"Unknown 126","","1116.6","169","","","","","","","","1529.3","60.322"
"Unknown 127","","1122.8","85","","","","","","","","1535.2","53.137"
"Unknown 128","","1125.4","97","","","","","","","","1537.7","69.217"
"Unknown 129","","1129","158","","","","","","","","1541.2","80.120"
"Unknown 13","","389.8","79","","","","","","","","1006.4","65.151"
"Unknown 130","","1131.8","134","","","","","","","","1543.9","151.70"
"Unknown 131","","1133.2","186","","","","","","","","1545.2","107.44"
"Unknown 132","","1135","218","","","","","","","","1547.0","378.29"
"Unknown 133","","1139.6","205","","","","","","","","1551.4","3859.7"
"Unknown 134","","1140.2","143","","","","","","","","1552.0","135.25"
"Unknown 135","","1143.8","218","","","","","","","","1555.4","1807.9"
"Unknown 136","","1146.2","202","","","","","","","","1557.7","118.09"
"Unknown 137","","1146.8","120","","","","","","","","1558.3","1429.1"
"Unknown 138","","1162","185","","","","","","","","1573.0","58.294"
"Unknown 139","","1163","114","","","","","","","","1573.9","696.16"
"Unknown 14","","394.8","131","","","","","","","","1009.7","17.806"
"Unknown 140","","1164.2","202","","","","","","","","1575.1","196.09"
"Unknown 141","","1167.8","129","","","","","","","","1578.5","106.00"
"Unknown 142","","1168.8","198","","","","","","","","1579.5","252.66"
"Unknown 143","","1174","142","","","","","","","","1584.5","1130.9"
"Unknown 144","","1184.2","71","","","","","","","","1594.3","222.83"
"Unknown 145","","1189.4","188","","","","","","","","1599.3","899.70"
"Unknown 146","","1191","211","","","","","","","","1600.9","760.22"
"Unknown 147","","1194.6","274","","","","","","","","1604.3","226.93"
"Unknown 148","","1201","104","","","","","","","","1610.5","14.206"
"Unknown 149","","1211.8","246","","","","","","","","1620.9","5498.6"
"Unknown 15","","397.2","147","","","","","","","","1011.3","64.915"
"Unknown 150","","1216.4","218","","","","","","","","1625.3","8695.1"
"Unknown 151","","1219","82","","","","","","","","1627.8","40.239"
"Unknown 152","","1236.2","117","","","","","","","","1644.4","87.553"
"Unknown 153","","1242.4","310","","","","","","","","1650.3","42.973"
"Unknown 154","","1248.2","104","","","","","","","","1655.9","393.40"
"Unknown 155","","1249.8","158","","","","","","","","1657.5","952.07"
"Unknown 156","","1255","451","","","","","","","","1662.5","113.54"
"Unknown 157","","1257.8","275","","","","","","","","1665.2","155.50"
"Unknown 158","","1259.6","140","","","","","","","","1666.9","159.21"
"Unknown 159","","1262.6","326","","","","","","","","1669.8","49.883"
"Unknown 16","","432","152","","","","","","","","1034.6","388.77"
"Unknown 160","","1266","98","","","","","","","","1673.1","88.064"
"Unknown 161","","1269.4","104","","","","","","","","1676.3","361.21"
"Unknown 162","","1283","277","","","","","","","","1689.4","390.70"
"Unknown 163","","1289.4","275","","","","","","","","1695.6","183.40"
"Unknown 164","","1291.2","123","","","","","","","","1697.3","356.13"
"Unknown 165","","1292","206","","","","","","","","1698.1","1574.5"
"Unknown 166","","1293.8","71","","","","","","","","1699.8","2858.3"
"Unknown 167","","1301.8","160","","","","","","","","1708.7","70.044"
"Unknown 168","","1303.2","157","","","","","","","","1710.2","31.528"
"Unknown 169","","1308.2","119","","","","","","","","1715.8","60.643"
"Unknown 17","","453.8","177","","","","","","","","1049.1","96.244"
"Unknown 170","","1312.8","162","","","","","","","","1720.9","62.604"
"Unknown 171","","1314.8","119","","","","","","","","1723.2","99.182"
"Unknown 172","","1316","217","","","","","","","","1724.5","68.413"
"Unknown 173","","1323.4","174","","","","","","","","1732.7","1892.9"
"Unknown 174","","1327","220","","","","","","","","1736.7","936.92"
"Unknown 175","","1329.2","217","","","","","","","","1739.2","338.42"
"Unknown 176","","1338.8","207","","","","","","","","1749.9","58.310"
"Unknown 177","","1340.4","235","","","","","","","","1751.7","168.72"
"Unknown 178","","1350.4","299","","","","","","","","1762.8","76.029"
