"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","","1398.8","273","","","","","","","","1816.7","523.91"
"#Citrate_275_heavy","#Citrate_273_light","1398","142","1395.6,4270","1404.4,4591","547","273","540.95","1326535","","1815.8","29.383"
"#Citrate_275_heavy","#Citrate_275_heavy","1398","142","1395.4,4571","1402.2,4580","496","275","77.718","228837","","1815.8","29.383"
"#Fumarate_247_heavy","#Fumarate_245_light","903.2","245","900.4,4350","906,6021","916","245","588.69","1635138","BaselineModified","1364.8","591.97"
"#Fumarate_247_heavy","#Fumarate_247_heavy","903.2","245","901,4598","906.6,4629","905","247","42.377","130248","","1364.8","591.97"
"#Malate_245_light","#Malate_245_light","1069.8","233","1067,4389","1073.8,6564","953","245","366.10","1168255","BaselineModified","1487.9","471.63"
"#Malate_245_light","#Malate_247_heavy","1069.8","233","1067,4664","1073.2,4643","955","247","43.441","141844","","1487.9","471.63"
"#Sorbitol_323","#Sorbitol_319","1490.6","319","1488.6,26261","1492.8,30811","645","319","463.53","987400","BaselineModified","1927.0","546.93"
"#Sorbitol_323","#Sorbitol_323","1490.6","319","1490.4,1087788","1491,1062158","645","323","44.639","35458","","1927.0","546.93"
"#Succinate_249_heavy","#Succinate_247_light","854","247","851.6,4871","857.2,4805","734","247","20.282","60824","","1328.5","19.962"
"#Succinate_249_heavy","#Succinate_249_heavy","854","247","852.8,6102","855.6,5378","694","249","3.8626","11841","BaselineModified","1328.5","19.962"
"Unknown 1","","350.4","77","","","","","","","","980.12","100.63"
"Unknown 10","","385.8","117","","","","","","","","1003.7","49.721"
"Unknown 100","","1104.4","208","","","","","","","","1517.5","17.690"
"Unknown 101","","1105.2","157","","","","","","","","1518.3","12497"
"Unknown 102","","1108.6","233","","","","","","","","1521.6","407.73"
"Unknown 103","","1123.8","100","","","","","","","","1536.2","43.120"
"Unknown 104","","1127","97","","","","","","","","1539.3","66.749"
"Unknown 105","","1129.4","174","","","","","","","","1541.6","808.50"
"Unknown 106","","1131.8","134","","","","","","","","1543.9","185.77"
"Unknown 107","","1139.6","205","","","","","","","","1551.4","3322.7"
"Unknown 108","","1144.2","120","","","","","","","","1555.8","1125.8"
"Unknown 109","","1146.6","218","","","","","","","","1558.1","824.36"
"Unknown 11","","388.6","85","","","","","","","","1005.6","224.63"
"Unknown 110","","1166","114","","","","","","","","1576.8","203.79"
"Unknown 111","","1169.6","198","","","","","","","","1580.3","167.27"
"Unknown 112","","1174.6","142","","","","","","","","1585.1","393.28"
"Unknown 113","","1185.2","71","","","","","","","","1595.3","265.32"
"Unknown 114","","1190.2","188","","","","","","","","1600.1","505.65"
"Unknown 115","","1191","212","","","","","","","","1600.9","87.601"
"Unknown 116","","1194.6","71","","","","","","","","1604.3","115.18"
"Unknown 117","","1203.4","220","","","","","","","","1612.8","57.082"
"Unknown 118","","1213.2","246","","","","","","","","1622.2","2283.6"
"Unknown 119","","1217.8","218","","","","","","","","1626.7","1857.0"
"Unknown 12","","390","75","","","","","","","","1006.5","60.595"
"Unknown 120","","1220.4","174","","","","","","","","1629.2","116.76"
"Unknown 121","","1244.6","206","","","","","","","","1652.5","144.65"
"Unknown 122","","1250.2","158","","","","","","","","1657.8","571.22"
"Unknown 123","","1250.8","310","","","","","","","","1658.4","91.678"
"Unknown 124","","1256.4","104","","","","","","","","1663.8","52.573"
"Unknown 125","","1259","275","","","","","","","","1666.3","60.163"
"Unknown 126","","1260","140","","","","","","","","1667.3","165.92"
"Unknown 127","","1266.4","215","","","","","","","","1673.4","47.080"
"Unknown 128","","1270.8","104","","","","","","","","1677.7","353.62"
"Unknown 129","","1283.2","277","","","","","","","","1689.6","355.15"
"Unknown 13","","393.8","147","","","","","","","","1009.1","64.438"
"Unknown 130","","1290.6","155","","","","","","","","1696.7","33.499"
"Unknown 131","","1291.4","97","","","","","","","","1697.5","1165.1"
"Unknown 132","","1292.6","206","","","","","","","","1698.7","1468.3"
"Unknown 133","","1294","71","","","","","","","","1700.0","3195.3"
"Unknown 134","","1301.8","160","","","","","","","","1708.7","58.550"
"Unknown 135","","1303.4","242","","","","","","","","1710.5","76.430"
"Unknown 136","","1316.4","129","","","","","","","","1724.9","22.305"
"Unknown 137","","1324.4","174","","","","","","","","1733.9","1221.5"
"Unknown 138","","1327.2","220","","","","","","","","1737.0","871.94"
"Unknown 139","","1329.6","217","","","","","","","","1739.6","257.10"
"Unknown 14","","432.2","152","","","","","","","","1034.7","492.99"
"Unknown 140","","1341.4","235","","","","","","","","1752.8","116.57"
"Unknown 141","","1349.4","299","","","","","","","","1761.7","74.140"
"Unknown 142","","1351","153","","","","","","","","1763.5","60.124"
"Unknown 143","","1352.8","220","","","","","","","","1765.5","471.12"
"Unknown 144","","1354.4","217","","","","","","","","1767.3","638.63"
"Unknown 145","","1362","215","","","","","","","","1775.7","408.45"
"Unknown 146","","1365","220","","","","","","","","1779.1","1306.8"
"Unknown 147","","1372.6","220","","","","","","","","1787.5","1075.6"
"Unknown 148","","1405.8","250","","","","","","","","1824.5","122.77"
"Unknown 149","","1409.4","218","","","","","","","","1828.5","444.57"
"Unknown 15","","454.2","174","","","","","","","","1049.4","80.677"
"Unknown 150","","1414","174","","","","","","","","1833.6","210.04"
"Unknown 151","","1418","217","","","","","","","","1838.1","353.34"
"Unknown 152","","1418.8","162","","","","","","","","1839.0","236.99"
"Unknown 153","","1419.2","87","","","","","","","","1839.4","100.63"
"Unknown 154","","1420.8","156","","","","","","","","1841.2","92.583"
"Unknown 155","","1425.2","160","","","","","","","","1846.1","52.438"
"Unknown 156","","1425.4","128","","","","","","","","1846.3","144.03"
"Unknown 157","","1429","117","","","","","","","","1850.3","67.403"
"Unknown 158","","1430","174","","","","","","","","1851.4","1109.9"
"Unknown 159","","1432","104","","","","","","","","1853.7","177.55"
"Unknown 16","","460.2","166","","","","","","","","1053.4","237.54"
"Unknown 160","","1436.6","161","","","","","","","","1858.8","530.18"
"Unknown 161","","1438.8","217","","","","","","","","1861.2","369.42"
"Unknown 162","","1439.6","156","","","","","","","","1862.1","84.970"
"Unknown 163","","1440.8","161","","","","","","","","1863.5","265.91"
"Unknown 164","","1445.4","264","","","","","","","","1868.6","142.47"
"Unknown 165","","1448.8","206","","","","","","","","1872.4","1586.1"
"Unknown 166","","1449.8","310","","","","","","","","1873.5","83.530"
"Unknown 167","","1458","78","","","","","","","","1882.6","56.731"
