"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1398","273","1394.8,4576","1404.2,4888","949","273","1329.6","3646969","","1815.8","1330.0"
"#Citrate_275_heavy","#Citrate_275_heavy","1398","273","1394.8,4728","1403.4,5061","881","275","525.71","1612708","","1815.8","1330.0"
"#Fumarate_247_heavy","#Fumarate_245_light","902.4","245","899.6,4568","906,4929","889","245","819.45","2216539","","1364.3","819.80"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.4","245","900.2,4617","905.2,4671","862","247","58.986","168724","","1364.3","819.80"
"#Malate_245_light","#Malate_245_light","1067.6","233","1065,5216","1071.8,5464","971","245","714.33","1774911","","1486.3","873.92"
"#Malate_245_light","#Malate_247_heavy","1067.6","233","1065.2,4491","1070.4,4857","983","247","79.653","208860","","1486.3","873.92"
"#Sorbitol_323","#Sorbitol_319","1491","319","1487.4,24556","1496.8,12298","618","319","803.40","2006496","","1927.7","857.64"
"#Sorbitol_323","#Sorbitol_323","1491","319","1490.6,1540850","1491.2,1503445","618","323","99.904","107951","","1927.7","857.64"
"#Succinate_247_light","#Succinate_247_light","853.4","247","851,4804","856.4,4723","801","247","52.102","152418","","1328.1","51.262"
"#Succinate_247_light","#Succinate_249_heavy","853.4","247","852.2,6163","855,6175","924","249","5.1857","11212","","1328.1","51.262"
"Unknown 1","","350.6","79","","","","","","","","980.25","73.408"
"Unknown 10","","380.6","72","","","","","","","","1000.3","35.633"
"Unknown 100","","1015.4","160","","","","","","","","1447.7","598.26"
"Unknown 101","","1023.8","128","","","","","","","","1453.9","109.31"
"Unknown 102","","1033.2","128","","","","","","","","1460.9","615.70"
"Unknown 103","","1041.8","142","","","","","","","","1467.2","117.40"
"Unknown 104","","1044.4","546","","","","","","","","1469.1","92.052"
"Unknown 105","","1044.8","171","","","","","","","","1469.4","215.36"
"Unknown 106","","1045","452","","","","","","","","1469.6","23.119"
"Unknown 107","","1047.6","71","","","","","","","","1471.5","3934.5"
"Unknown 108","","1048.8","218","","","","","","","","1472.4","591.43"
"Unknown 109","","1053","155","","","","","","","","1475.5","96.341"
"Unknown 11","","388.8","142","","","","","","","","1005.7","64.679"
"Unknown 110","","1055.8","171","","","","","","","","1477.5","2119.8"
"Unknown 111","","1064","179","","","","","","","","1483.6","1021.5"
"Unknown 112","","1074.4","233","","","","","","","","1491.3","65.500"
"Unknown 113","","1075.6","163","","","","","","","","1492.2","93.556"
"Unknown 114","","1079.2","188","","","","","","","","1494.8","203.52"
"Unknown 115","","1080","230","","","","","","","","1495.4","512.77"
"Unknown 116","","1085.6","71","","","","","","","","1499.6","3128.9"
"Unknown 117","","1086.2","84","","","","","","","","1500.0","1075.9"
"Unknown 118","","1089.6","159","","","","","","","","1503.3","332.21"
"Unknown 119","","1090.8","174","","","","","","","","1504.4","71.633"
"Unknown 12","","393","147","","","","","","","","1008.5","67.296"
"Unknown 120","","1092.8","128","","","","","","","","1506.4","64.573"
"Unknown 121","","1093","205","","","","","","","","1506.5","250.07"
"Unknown 122","","1097.6","195","","","","","","","","1511.0","38.143"
"Unknown 123","","1098.2","217","","","","","","","","1511.5","113.78"
"Unknown 124","","1100","232","","","","","","","","1513.3","216.09"
"Unknown 125","","1100.6","176","","","","","","","","1513.9","5295.8"
"Unknown 126","","1105.2","157","","","","","","","","1518.3","24715"
"Unknown 127","","1106","232","","","","","","","","1519.1","3240.3"
"Unknown 128","","1114.4","309","","","","","","","","1527.1","13.764"
"Unknown 129","","1117.2","169","","","","","","","","1529.8","74.575"
"Unknown 13","","397.6","147","","","","","","","","1011.6","69.954"
"Unknown 130","","1123","185","","","","","","","","1535.4","69.751"
"Unknown 131","","1125.4","173","","","","","","","","1537.7","104.63"
"Unknown 132","","1126","241","","","","","","","","1538.3","66.254"
"Unknown 133","","1128.8","174","","","","","","","","1541.0","127.38"
"Unknown 134","","1131.8","134","","","","","","","","1543.9","181.47"
"Unknown 135","","1133.8","174","","","","","","","","1545.8","211.80"
"Unknown 136","","1134.8","218","","","","","","","","1546.8","339.36"
"Unknown 137","","1138.2","120","","","","","","","","1550.0","389.83"
"Unknown 138","","1139.6","205","","","","","","","","1551.4","1947.9"
"Unknown 139","","1140","143","","","","","","","","1551.8","239.07"
"Unknown 14","","432","152","","","","","","","","1034.6","259.24"
"Unknown 140","","1143","218","","","","","","","","1554.7","2473.7"
"Unknown 141","","1145.4","202","","","","","","","","1557.0","289.45"
"Unknown 142","","1147.6","120","","","","","","","","1559.1","929.53"
"Unknown 143","","1162.2","114","","","","","","","","1573.1","1042.9"
"Unknown 144","","1164","202","","","","","","","","1574.9","431.54"
"Unknown 145","","1167","129","","","","","","","","1577.8","102.45"
"Unknown 146","","1168.4","198","","","","","","","","1579.1","264.03"
"Unknown 147","","1173.6","186","","","","","","","","1584.1","1513.1"
"Unknown 148","","1184","71","","","","","","","","1594.1","149.50"
"Unknown 149","","1189","188","","","","","","","","1598.9","910.07"
"Unknown 15","","445.6","165","","","","","","","","1043.6","55.207"
"Unknown 150","","1189.6","113","","","","","","","","1599.5","64.804"
"Unknown 151","","1190.4","211","","","","","","","","1600.3","980.12"
"Unknown 152","","1194","71","","","","","","","","1603.8","110.34"
"Unknown 153","","1195.2","274","","","","","","","","1604.9","311.58"
"Unknown 154","","1201.4","220","","","","","","","","1610.9","86.007"
"Unknown 155","","1212.8","246","","","","","","","","1621.8","3267.1"
"Unknown 156","","1216","218","","","","","","","","1624.9","12334"
"Unknown 157","","1219.6","174","","","","","","","","1628.4","146.56"
"Unknown 158","","1224.2","232","","","","","","","","1632.8","14.583"
"Unknown 159","","1235.8","117","","","","","","","","1644.0","164.06"
"Unknown 16","","453.8","177","","","","","","","","1049.1","73.705"
"Unknown 160","","1236.2","211","","","","","","","","1644.4","63.170"
"Unknown 161","","1247.6","222","","","","","","","","1655.3","95.058"
"Unknown 162","","1248.2","86","","","","","","","","1655.9","28.232"
"Unknown 163","","1249.6","158","","","","","","","","1657.3","943.13"
"Unknown 164","","1253.8","451","","","","","","","","1661.3","258.34"
"Unknown 165","","1255","162","","","","","","","","1662.5","67.195"
"Unknown 166","","1257.4","275","","","","","","","","1664.8","252.99"
"Unknown 167","","1259.8","140","","","","","","","","1667.1","142.44"
"Unknown 168","","1260.4","100","","","","","","","","1667.7","66.724"
"Unknown 169","","1265.8","215","","","","","","","","1672.9","154.92"
"Unknown 17","","460.4","166","","","","","","","","1053.5","240.28"
"Unknown 170","","1268.8","104","","","","","","","","1675.7","471.26"
"Unknown 171","","1282.6","277","","","","","","","","1689.0","395.65"
"Unknown 172","","1289.2","275","","","","","","","","1695.4","270.07"
"Unknown 173","","1290.8","97","","","","","","","","1696.9","1282.1"
"Unknown 174","","1291.8","206","","","","","","","","1697.9","1818.5"
"Unknown 175","","1293.6","71","","","","","","","","1699.6","3035.1"
"Unknown 176","","1301.6","160","","","","","","","","1708.5","51.945"
