"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1398.2","273","1394.4,4791","1405.2,5398","884","273","1424.4","4228532","","1816.0","1372.2"
"#Citrate_275_heavy","#Citrate_275_heavy","1398.2","273","1394.6,4510","1403,4900","900","275","113.40","352954","","1816.0","1372.2"
"#Fumarate_247_heavy","#Fumarate_245_light","902.8","245","899.8,4548","910,4727","834","245","434.77","2020416","","1364.5","434.09"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.8","245","900.4,4443","905,4451","829","247","35.803","126758","","1364.5","434.09"
"#Malate_245_light","#Malate_245_light","1069.4","233","1066.4,5087","1074,5540","956","245","422.12","1557515","","1487.6","671.19"
"#Malate_245_light","#Malate_247_heavy","1069.4","233","1067,4602","1072.6,4696","962","247","52.912","174234","","1487.6","671.19"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323","#Sorbitol_319","1490.6","421","1490,2432368","1491,2333800","690","319","353.30","533228","","1927.0","27.298"
"#Sorbitol_323","#Sorbitol_323","1490.6","421","1490,18718","1491.4,17874","690","323","7.3267","8973.6","","1927.0","27.298"
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","852.8","247","849.8,5007","856.2,4874","908","247","31.022","131197","","1327.6","30.637"
"#Succinate_247_light","#Succinate_249_heavy","852.8","247","852.6,7450","854,6133","837","249","5.0869","4782.9","","1327.6","30.637"
"Unknown 1","","350.4","109","","","","","","","","980.12","1320.2"
"Unknown 10","","460.8","85","","","","","","","","1053.8","138.82"
"Unknown 100","","950.6","142","","","","","","","","1399.9","82.003"
"Unknown 101","","955.2","158","","","","","","","","1403.2","210.32"
"Unknown 102","","955.6","174","","","","","","","","1403.5","339.40"
"Unknown 103","","957.2","294","","","","","","","","1404.7","37.698"
"Unknown 104","","962.2","219","","","","","","","","1408.4","55.426"
"Unknown 105","","966.2","71","","","","","","","","1411.4","154.96"
"Unknown 106","","978.8","104","","","","","","","","1420.7","59.153"
"Unknown 107","","995.4","160","","","","","","","","1432.9","84.060"
"Unknown 108","","1000.8","160","","","","","","","","1436.9","91.070"
"Unknown 109","","1005.4","160","","","","","","","","1440.3","60.676"
"Unknown 11","","466","190","","","","","","","","1057.2","1479.3"
"Unknown 110","","1016","219","","","","","","","","1448.2","116.64"
"Unknown 111","","1016.4","147","","","","","","","","1448.4","445.29"
"Unknown 112","","1019.2","130","","","","","","","","1450.5","38.270"
"Unknown 113","","1020","147","","","","","","","","1451.1","319.98"
"Unknown 114","","1024.4","147","","","","","","","","1454.4","89.488"
"Unknown 115","","1027.4","147","","","","","","","","1456.6","128.32"
"Unknown 116","","1030.4","147","","","","","","","","1458.8","229.21"
"Unknown 117","","1033.6","128","","","","","","","","1461.2","162.34"
"Unknown 118","","1034.2","115","","","","","","","","1461.6","66.943"
"Unknown 119","","1037.2","147","","","","","","","","1463.8","559.18"
"Unknown 12","","475.4","140","","","","","","","","1063.5","49.224"
"Unknown 120","","1038.6","147","","","","","","","","1464.8","541.40"
"Unknown 121","","1044.8","147","","","","","","","","1469.4","181.25"
"Unknown 122","","1046.2","171","","","","","","","","1470.5","699.24"
"Unknown 123","","1047.6","71","","","","","","","","1471.5","8924.2"
"Unknown 124","","1048.8","218","","","","","","","","1472.4","299.14"
"Unknown 125","","1049","232","","","","","","","","1472.5","223.17"
"Unknown 126","","1051.4","147","","","","","","","","1474.3","215.17"
"Unknown 127","","1054.8","171","","","","","","","","1476.8","13536"
"Unknown 128","","1057.2","160","","","","","","","","1478.6","59.116"
"Unknown 129","","1061","147","","","","","","","","1481.4","93.668"
"Unknown 13","","510","72","","","","","","","","1086.6","2058.2"
"Unknown 130","","1064.2","179","","","","","","","","1483.8","681.99"
"Unknown 131","","1064.4","147","","","","","","","","1483.9","50.433"
"Unknown 132","","1073.4","147","","","","","","","","1490.5","67.166"
"Unknown 133","","1075.4","163","","","","","","","","1492.0","89.228"
"Unknown 134","","1079.6","144","","","","","","","","1495.1","161.86"
"Unknown 135","","1081","230","","","","","","","","1496.2","538.37"
"Unknown 136","","1081.8","147","","","","","","","","1496.8","130.35"
"Unknown 137","","1083.6","299","","","","","","","","1498.1","85.245"
"Unknown 138","","1084.8","71","","","","","","","","1499.0","2908.8"
"Unknown 139","","1086.4","156","","","","","","","","1500.2","42.146"
"Unknown 14","","523.8","71","","","","","","","","1095.8","50.799"
"Unknown 140","","1088.6","147","","","","","","","","1502.3","83.207"
"Unknown 141","","1090.8","159","","","","","","","","1504.4","295.25"
"Unknown 142","","1092.4","205","","","","","","","","1506.0","111.54"
"Unknown 143","","1097.4","299","","","","","","","","1510.8","59.898"
"Unknown 144","","1100.6","299","","","","","","","","1513.9","73.062"
"Unknown 145","","1101.8","176","","","","","","","","1515.0","3099.1"
"Unknown 146","","1105.4","157","","","","","","","","1518.5","11970"
"Unknown 147","","1106.2","187","","","","","","","","1519.2","75.781"
"Unknown 148","","1108.2","232","","","","","","","","1521.2","3634.6"
"Unknown 149","","1109.2","254","","","","","","","","1522.1","101.47"
"Unknown 15","","530","204","","","","","","","","1099.9","109.77"
"Unknown 150","","1110.8","299","","","","","","","","1523.7","70.089"
"Unknown 151","","1115.4","169","","","","","","","","1528.1","141.75"
"Unknown 152","","1123.8","185","","","","","","","","1536.2","83.014"
"Unknown 153","","1125.8","241","","","","","","","","1538.1","113.84"
"Unknown 154","","1126.4","173","","","","","","","","1538.7","99.070"
"Unknown 155","","1131.8","134","","","","","","","","1543.9","165.52"
"Unknown 156","","1136.8","147","","","","","","","","1548.7","60.278"
"Unknown 157","","1139.6","161","","","","","","","","1551.4","1405.8"
"Unknown 158","","1140","74","","","","","","","","1551.8","113.13"
"Unknown 159","","1141","143","","","","","","","","1552.7","87.016"
"Unknown 16","","530.8","460","","","","","","","","1100.5","20.805"
"Unknown 160","","1144.4","218","","","","","","","","1556.0","1505.7"
"Unknown 161","","1145.6","158","","","","","","","","1557.2","219.25"
"Unknown 162","","1162.6","147","","","","","","","","1573.5","146.97"
"Unknown 163","","1164","202","","","","","","","","1574.9","320.68"
"Unknown 164","","1168.2","120","","","","","","","","1578.9","92.874"
"Unknown 165","","1169.2","198","","","","","","","","1579.9","147.70"
"Unknown 166","","1170.4","147","","","","","","","","1581.0","97.779"
"Unknown 167","","1173.6","186","","","","","","","","1584.1","1293.6"
"Unknown 168","","1180.2","147","","","","","","","","1590.5","69.527"
"Unknown 169","","1183.6","147","","","","","","","","1593.7","61.776"
"Unknown 17","","537","116","","","","","","","","1104.6","148.95"
"Unknown 170","","1189.2","188","","","","","","","","1599.1","375.34"
"Unknown 171","","1191.8","211","","","","","","","","1601.6","1018.1"
"Unknown 172","","1193.8","71","","","","","","","","1603.6","112.14"
"Unknown 173","","1198","274","","","","","","","","1607.6","183.96"
"Unknown 174","","1202.8","217","","","","","","","","1612.2","81.820"
"Unknown 175","","1214.8","246","","","","","","","","1623.8","129.28"
"Unknown 176","","1217.4","218","","","","","","","","1626.3","1640.0"
"Unknown 177","","1224.8","245","","","","","","","","1633.4","20.536"
"Unknown 178","","1236.4","117","","","","","","","","1644.6","110.18"
"Unknown 179","","1246.4","257","","","","","","","","1654.2","25.646"
"Unknown 18","","538","124","","","","","","","","1105.3","109.44"
"Unknown 180","","1246.6","217","","","","","","","","1654.4","466.30"
"Unknown 181","","1250.2","158","","","","","","","","1657.8","359.26"
"Unknown 182","","1260","140","","","","","","","","1667.3","111.63"
"Unknown 183","","1263","290","","","","","","","","1670.2","84.133"
"Unknown 184","","1263.2","147","","","","","","","","1670.4","143.45"
"Unknown 185","","1265.4","215","","","","","","","","1672.5","759.22"
"Unknown 186","","1272.2","320","","","","","","","","1679.0","68.261"
"Unknown 187","","1275.2","269","","","","","","","","1681.9","49.085"
"Unknown 188","","1281","147","","","","","","","","1687.5","381.80"
"Unknown 189","","1282.8","277","","","","","","","","1689.2","395.65"
"Unknown 19","","558.8","102","","","","","","","","1119.1","3169.5"
"Unknown 190","","1291","123","","","","","","","","1697.1","332.54"
"Unknown 191","","1293.4","85","","","","","","","","1699.4","1438.7"
"Unknown 192","","1293.8","77","","","","","","","","1699.8","163.73"
"Unknown 193","","1295.2","149","","","","","","","","1701.3","4084.5"
"Unknown 194","","1297.8","218","","","","","","","","1704.2","42.521"
"Unknown 195","","1299.2","246","","","","","","","","1705.8","93.393"
"Unknown 196","","1300","185","","","","","","","","1706.7","68.062"
"Unknown 197","","1303.8","242","","","","","","","","1710.9","89.061"
"Unknown 198","","1304.4","117","","","","","","","","1711.6","59.147"
"Unknown 199","","1307.8","299","","","","","","","","1715.4","75.809"
"Unknown 2","","350.6","73","","","","","","","","980.25","1182.2"
"Unknown 20","","565.8","102","","","","","","","","1123.8","55.280"
"Unknown 200","","1312.8","160","","","","","","","","1720.9","33.118"
"Unknown 201","","1314.4","86","","","","","","","","1722.7","70.015"
"Unknown 202","","1316.2","217","","","","","","","","1724.7","66.507"
"Unknown 203","","1316.8","185","","","","","","","","1725.4","52.145"
"Unknown 204","","1318","117","","","","","","","","1726.7","525.77"
"Unknown 205","","1321","299","","","","","","","","1730.1","3573.8"
"Unknown 206","","1324.2","174","","","","","","","","1733.6","1766.1"
"Unknown 207","","1325.2","130","","","","","","","","1734.7","74.846"
"Unknown 208","","1328","147","","","","","","","","1737.9","112.02"
"Unknown 209","","1329.6","217","","","","","","","","1739.6","374.82"
"Unknown 21","","567","147","","","","","","","","1124.6","78.747"
"Unknown 210","","1331.8","147","","","","","","","","1742.1","66.803"
"Unknown 211","","1338.8","299","","","","","","","","1749.9","50.304"
"Unknown 212","","1339.4","205","","","","","","","","1750.6","81.343"
"Unknown 213","","1340.4","292","","","","","","","","1751.7","19.076"
"Unknown 214","","1340.8","373","","","","","","","","1752.1","75.580"
"Unknown 215","","1343.8","248","","","","","","","","1755.5","85.401"
"Unknown 216","","1351","299","","","","","","","","1763.5","195.64"
"Unknown 217","","1354.6","217","","","","","","","","1767.5","840.06"
"Unknown 218","","1358.6","191","","","","","","","","1771.9","73.426"
"Unknown 219","","1361.6","215","","","","","","","","1775.3","1052.6"
"Unknown 22","","579.2","106","","","","","","","","1132.8","181.48"
"Unknown 220","","1364","274","","","","","","","","1778.0","71.299"
"Unknown 221","","1365.2","217","","","","","","","","1779.3","58.133"
"Unknown 222","","1371.4","84","","","","","","","","1786.2","55.568"
"Unknown 223","","1372.4","217","","","","","","","","1787.3","1652.1"
"Unknown 224","","1387","205","","","","","","","","1803.6","56.389"
"Unknown 225","","1392.6","204","","","","","","","","1809.8","96.219"
"Unknown 226","","1405.8","247","","","","","","","","1824.5","161.50"
"Unknown 227","","1406.8","160","","","","","","","","1825.6","258.24"
"Unknown 228","","1409","226","","","","","","","","1828.1","733.27"
"Unknown 229","","1413.4","174","","","","","","","","1833.0","322.52"
"Unknown 23","","581","152","","","","","","","","1134.0","90.910"
"Unknown 230","","1415","216","","","","","","","","1834.7","88.928"
"Unknown 231","","1417.2","217","","","","","","","","1837.2","3726.5"
"Unknown 232","","1417.8","226","","","","","","","","1837.9","220.01"
"Unknown 233","","1419.2","86","","","","","","","","1839.4","77.781"
"Unknown 234","","1425.6","219","","","","","","","","1846.5","585.90"
"Unknown 235","","1426.2","302","","","","","","","","1847.2","154.91"
"Unknown 236","","1428.4","285","","","","","","","","1849.7","52.154"
"Unknown 237","","1429.6","174","","","","","","","","1851.0","7551.3"
"Unknown 238","","1433.2","214","","","","","","","","1855.0","97.700"
"Unknown 239","","1437.8","191","","","","","","","","1860.1","168.98"
