"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1400.3","375","1398.2,4769","1401.6,5008","0","273","26.462","65212","","1818.4","4.0459"
"#Citrate_275_heavy","#Citrate_275_heavy","1400.3","375","1399,4808","1401.2,4829","0","275","4.1675","5612.0","","1818.4","4.0459"
"#Fumarate_247_heavy","#Fumarate_245_light","902.2","245","899,4720","908.4,5189","918","245","922.26","2870190","","1364.1","909.36"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.2","245","898.4,4533","906,4559","886","247","76.447","227925","","1364.1","909.36"
"#Malate_245_light","#Malate_245_light","1068","233","1064.8,5851","1074.4,6243","968","245","709.78","2359148","","1486.6","1155.1"
"#Malate_245_light","#Malate_247_heavy","1068","233","1065,4917","1072.2,4968","973","247","86.470","274835","","1486.6","1155.1"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","853","247","850.6,4513","856.6,4465","880","247","42.065","121508","","1327.8","41.762"
"#Succinate_247_light","#Succinate_249_heavy","853","247","851,5022","854,5122","859","249","5.5356","12944","","1327.8","41.762"
"Unknown 1","","351.2","77","","","","","","","","980.65","323.51"
"Unknown 10","","437.6","181","","","","","","","","1038.3","56.033"
"Unknown 100","","1105","217","","","","","","","","1518.1","117.99"
"Unknown 101","","1105.4","157","","","","","","","","1518.5","9716.7"
"Unknown 102","","1127.8","173","","","","","","","","1540.0","163.32"
"Unknown 103","","1132","134","","","","","","","","1544.1","749.73"
"Unknown 104","","1139.2","120","","","","","","","","1551.0","4044.3"
"Unknown 105","","1139.4","161","","","","","","","","1551.2","5446.8"
"Unknown 106","","1146.6","202","","","","","","","","1558.1","195.94"
"Unknown 107","","1164.4","202","","","","","","","","1575.3","151.19"
"Unknown 108","","1166.6","114","","","","","","","","1577.4","169.17"
"Unknown 109","","1168.8","198","","","","","","","","1579.5","307.88"
"Unknown 11","","453.6","174","","","","","","","","1049.0","215.89"
"Unknown 110","","1170","129","","","","","","","","1580.7","114.46"
"Unknown 111","","1174.2","142","","","","","","","","1584.7","1242.5"
"Unknown 112","","1184.8","71","","","","","","","","1594.9","94.629"
"Unknown 113","","1189.8","188","","","","","","","","1599.7","53.383"
"Unknown 114","","1191","211","","","","","","","","1600.9","1926.9"
"Unknown 115","","1194.2","71","","","","","","","","1603.9","224.71"
"Unknown 116","","1224.8","248","","","","","","","","1633.4","63.919"
"Unknown 117","","1236.8","73","","","","","","","","1644.9","37.654"
"Unknown 118","","1248.8","217","","","","","","","","1656.5","110.07"
"Unknown 119","","1250.4","158","","","","","","","","1658.0","741.92"
"Unknown 12","","460.8","115","","","","","","","","1053.8","83.121"
"Unknown 120","","1260","140","","","","","","","","1667.3","90.609"
"Unknown 121","","1267","127","","","","","","","","1674.0","133.69"
"Unknown 122","","1282.8","277","","","","","","","","1689.2","596.77"
"Unknown 123","","1285","266","","","","","","","","1691.3","217.89"
"Unknown 124","","1291.2","97","","","","","","","","1697.3","1608.8"
"Unknown 125","","1293.4","71","","","","","","","","1699.4","4103.1"
"Unknown 126","","1294.6","204","","","","","","","","1700.7","57.109"
"Unknown 127","","1302","160","","","","","","","","1708.9","110.30"
"Unknown 128","","1304.4","242","","","","","","","","1711.6","126.85"
"Unknown 129","","1319","217","","","","","","","","1727.8","62.465"
