"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1397.8","273","1393.6,4851","1403,5816","891","273","1464.3","4052592","","1815.6","1466.0"
"#Citrate_275_heavy","#Citrate_275_heavy","1397.8","273","1395,4769","1401.6,4969","895","275","115.02","331298","","1815.6","1466.0"
"#Fumarate_247_heavy","#Fumarate_245_light","903","245","899.2,4433","912.2,4841","898","245","384.63","1994145","","1364.7","383.67"
"#Fumarate_247_heavy","#Fumarate_247_heavy","903","245","900.2,4480","905,4632","881","247","32.107","120195","","1364.7","383.67"
"#Malate_245_light","#Malate_245_light","1069.4","73","1066.2,4885","1072.6,5282","961","245","425.76","1386162","","1487.6","237.80"
"#Malate_245_light","#Malate_247_heavy","1069.4","73","1066.4,4395","1071.8,4534","967","247","47.639","159860","","1487.6","237.80"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323","#Sorbitol_319","1491.8","236","1490.2,2669727","1496.6,1877812","810","319","554.14","2779502","","1929.0","61.269"
"#Sorbitol_323","#Sorbitol_323","1491.8","236","1491.6,19072","1494.6,16302","810","323","8.7808","21771","","1929.0","61.269"
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","852.6","247","850,4976","855.6,4842","840","247","28.039","111600","","1327.5","28.039"
"#Succinate_247_light","#Succinate_249_heavy","852.6","247","852,7397","853.4,6306","836","249","5.8984","8757.7","","1327.5","28.039"
"Unknown 1","","350.4","171","","","","","","","","980.12","233.19"
"Unknown 10","","404.6","153","","","","","","","","1016.3","58.135"
"Unknown 100","","1055","171","","","","","","","","1477.0","12090"
"Unknown 101","","1064.4","179","","","","","","","","1483.9","678.47"
"Unknown 102","","1072.8","147","","","","","","","","1490.1","83.669"
"Unknown 103","","1075.4","163","","","","","","","","1492.0","103.37"
"Unknown 104","","1079.6","188","","","","","","","","1495.1","205.27"
"Unknown 105","","1080.8","230","","","","","","","","1496.0","554.39"
"Unknown 106","","1081","299","","","","","","","","1496.2","149.47"
"Unknown 107","","1081.6","147","","","","","","","","1496.6","66.710"
"Unknown 108","","1085","71","","","","","","","","1499.1","2825.0"
"Unknown 109","","1086.2","84","","","","","","","","1500.0","945.63"
"Unknown 11","","430.6","152","","","","","","","","1033.6","467.54"
"Unknown 110","","1090.8","159","","","","","","","","1504.4","283.69"
"Unknown 111","","1092.8","205","","","","","","","","1506.4","127.48"
"Unknown 112","","1102","176","","","","","","","","1515.2","3216.1"
"Unknown 113","","1105.4","157","","","","","","","","1518.5","12654"
"Unknown 114","","1107.8","232","","","","","","","","1520.8","3683.0"
"Unknown 115","","1109","240","","","","","","","","1521.9","110.66"
"Unknown 116","","1115.8","169","","","","","","","","1528.5","189.12"
"Unknown 117","","1121","148","","","","","","","","1533.5","32.510"
"Unknown 118","","1123.6","588","","","","","","","","1536.0","21.047"
"Unknown 119","","1124.4","171","","","","","","","","1536.8","15.247"
"Unknown 12","","452.8","73","","","","","","","","1048.4","14.637"
"Unknown 120","","1125.4","174","","","","","","","","1537.7","138.14"
"Unknown 121","","1125.8","241","","","","","","","","1538.1","80.497"
"Unknown 122","","1126.2","173","","","","","","","","1538.5","100.71"
"Unknown 123","","1128","147","","","","","","","","1540.2","83.967"
"Unknown 124","","1131.6","134","","","","","","","","1543.7","151.19"
"Unknown 125","","1135.8","147","","","","","","","","1547.7","122.70"
"Unknown 126","","1139.4","161","","","","","","","","1551.2","1681.2"
"Unknown 127","","1140.8","115","","","","","","","","1552.6","92.500"
"Unknown 128","","1144.2","218","","","","","","","","1555.8","1483.2"
"Unknown 129","","1145.6","202","","","","","","","","1557.2","258.16"
"Unknown 13","","460.4","167","","","","","","","","1053.5","80.476"
"Unknown 130","","1151.2","147","","","","","","","","1562.6","82.520"
"Unknown 131","","1158.2","147","","","","","","","","1569.3","106.17"
"Unknown 132","","1163.8","114","","","","","","","","1574.7","752.90"
"Unknown 133","","1164","202","","","","","","","","1574.9","312.84"
"Unknown 134","","1166","148","","","","","","","","1576.8","27.856"
"Unknown 135","","1168.8","247","","","","","","","","1579.5","45.072"
"Unknown 136","","1173.6","186","","","","","","","","1584.1","1266.5"
"Unknown 137","","1183.6","147","","","","","","","","1593.7","53.190"
"Unknown 138","","1189","188","","","","","","","","1598.9","396.86"
"Unknown 139","","1189.6","147","","","","","","","","1599.5","70.472"
"Unknown 14","","460.6","115","","","","","","","","1053.6","48.387"
"Unknown 140","","1191.6","211","","","","","","","","1601.4","991.43"
