"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1398.6","273","1395,5521","1407.2,7440","883","273","2135.0","6636277","","1816.5","2136.4"
"#Citrate_275_heavy","#Citrate_275_heavy","1398.6","273","1395.2,4375","1403.2,4770","882","275","192.43","566849","","1816.5","2136.4"
"#Fumarate_247_heavy","#Fumarate_245_light","902.6","245","899.4,4368","910,4517","908","245","851.19","3063845","","1364.4","851.19"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.6","245","899.8,4454","906.2,4412","899","247","64.650","232777","","1364.4","851.19"
"#Malate_245_light","#Malate_245_light","1067.6","233","1064.8,5029","1074,5306","966","245","1034.6","2842225","","1486.3","1599.6"
"#Malate_245_light","#Malate_247_heavy","1067.6","233","1064.8,4459","1070.8,4536","968","247","120.16","332913","","1486.3","1599.6"
"#Sorbitol_319_light/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_319_light","","","","","500","319","","","","",""
"#Sorbitol_323","#Sorbitol_319","1491","421","1489.8,1851495","1493.6,1500879","650","319","540.75","1981774","","1927.7","32.248"
"#Sorbitol_323","#Sorbitol_323","1491","421","1490.2,14348","1492.6,13043","650","323","9.9901","21069","","1927.7","32.248"
"#Sorbitol_323_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Sorbitol_323_heavy","","","","","500","323","","","","",""
"#Succinate_247_light","#Succinate_247_light","853","247","850.2,4356","857,4312","879","247","82.080","298812","","1327.8","81.319"
"#Succinate_247_light","#Succinate_249_heavy","853","247","852,5142","854,4992","886","249","8.7581","19639","","1327.8","81.319"
"Unknown 1","","351.2","77","","","","","","","","980.65","411.97"
"Unknown 10","","441.4","112","","","","","","","","1040.8","148.70"
"Unknown 100","","1001.8","248","","","","","","","","1437.7","67.668"
"Unknown 101","","1005.4","117","","","","","","","","1440.3","38.818"
"Unknown 102","","1047.4","71","","","","","","","","1471.3","6892.3"
"Unknown 103","","1048.6","218","","","","","","","","1472.2","289.04"
"Unknown 104","","1053.4","557","","","","","","","","1475.8","18.903"
"Unknown 105","","1063.8","179","","","","","","","","1483.5","910.42"
"Unknown 106","","1072.6","98","","","","","","","","1490.0","54.071"
"Unknown 107","","1075.6","163","","","","","","","","1492.2","119.56"
"Unknown 108","","1079","144","","","","","","","","1494.7","97.698"
"Unknown 109","","1079.8","230","","","","","","","","1495.3","186.45"
"Unknown 11","","452.8","174","","","","","","","","1048.4","372.91"
"Unknown 110","","1085","71","","","","","","","","1499.1","4178.9"
"Unknown 111","","1085.4","113","","","","","","","","1499.4","540.10"
"Unknown 112","","1087.6","84","","","","","","","","1501.3","7977.2"
"Unknown 113","","1088.4","134","","","","","","","","1502.1","65.240"
"Unknown 114","","1089.6","155","","","","","","","","1503.3","291.95"
"Unknown 115","","1092.8","205","","","","","","","","1506.4","221.67"
"Unknown 116","","1097.2","195","","","","","","","","1510.6","157.56"
"Unknown 117","","1101.8","217","","","","","","","","1515.0","219.71"
"Unknown 118","","1104.2","176","","","","","","","","1517.3","725.45"
"Unknown 119","","1105.2","157","","","","","","","","1518.3","21961"
"Unknown 12","","459.4","115","","","","","","","","1052.8","84.291"
