"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1397.8","273","1394.8,4514","1404.2,5082","956","273","1083.3","3024174","","1815.6","1084.1"
"#Citrate_275_heavy","#Citrate_275_heavy","1397.8","273","1394.6,5059","1402.4,5135","893","275","366.40","1132877","","1815.6","1084.1"
"#Fumarate_247_heavy","#Fumarate_245_light","902.6","245","899.8,4644","906.6,5117","907","245","748.60","2183874","","1364.4","749.18"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.6","245","900.4,4709","905.8,4881","885","247","54.067","163218","","1364.4","749.18"
"#Malate_245_light","#Malate_245_light","1067.8","233","1064.8,4738","1071.4,6800","998","245","570.52","1543458","BaselineModified","1486.4","703.18"
"#Malate_245_light","#Malate_247_heavy","1067.8","233","1065.2,4775","1070.4,4806","987","247","62.747","181288","","1486.4","703.18"
"#Sorbitol_323","#Sorbitol_319","1490.8","319","1487,22309","1496.2,13095","628","319","822.10","2102479","","1927.4","847.61"
"#Sorbitol_323","#Sorbitol_323","1490.8","319","1490.6,1382763","1491,1364324","628","323","74.204","51689","","1927.4","847.61"
"#Succinate_247_light","#Succinate_247_light","853","247","850.6,4930","855.2,4947","904","247","45.744","130238","","1327.8","44.624"
"#Succinate_247_light","#Succinate_249_heavy","853","247","851.4,6440","853.4,6304","793","249","6.1803","10562","","1327.8","44.624"
"Unknown 1","","350.8","102","","","","","","","","980.39","169.73"
"Unknown 10","","460.2","167","","","","","","","","1053.4","221.22"
"Unknown 100","","1047.6","71","","","","","","","","1471.5","3330.6"
"Unknown 101","","1048.8","218","","","","","","","","1472.4","586.28"
"Unknown 102","","1053.2","155","","","","","","","","1475.6","120.13"
"Unknown 103","","1055.8","171","","","","","","","","1477.5","1372.6"
"Unknown 104","","1056.8","160","","","","","","","","1478.3","69.032"
"Unknown 105","","1063.8","179","","","","","","","","1483.5","976.88"
"Unknown 106","","1074.6","245","","","","","","","","1491.4","67.572"
"Unknown 107","","1075.8","207","","","","","","","","1492.3","45.134"
"Unknown 108","","1079.4","188","","","","","","","","1495.0","120.44"
"Unknown 109","","1080","230","","","","","","","","1495.4","350.08"
"Unknown 11","","467","117","","","","","","","","1057.9","1724.9"
"Unknown 110","","1085.8","71","","","","","","","","1499.7","3020.3"
"Unknown 111","","1086.4","84","","","","","","","","1500.2","1177.2"
"Unknown 112","","1089.8","159","","","","","","","","1503.5","296.98"
"Unknown 113","","1090.6","174","","","","","","","","1504.2","62.422"
"Unknown 114","","1093.2","205","","","","","","","","1506.7","238.97"
"Unknown 115","","1098","186","","","","","","","","1511.4","111.44"
"Unknown 116","","1100","232","","","","","","","","1513.3","289.59"
"Unknown 117","","1100.6","176","","","","","","","","1513.9","4583.9"
"Unknown 118","","1105","128","","","","","","","","1518.1","1095.9"
"Unknown 119","","1105.4","157","","","","","","","","1518.5","23789"
"Unknown 12","","476","119","","","","","","","","1063.9","115.19"
"Unknown 120","","1106.2","232","","","","","","","","1519.2","4187.1"
"Unknown 121","","1116.8","169","","","","","","","","1529.5","52.119"
"Unknown 122","","1122.8","185","","","","","","","","1535.2","60.450"
"Unknown 123","","1125.4","173","","","","","","","","1537.7","101.30"
"Unknown 124","","1129","174","","","","","","","","1541.2","104.53"
"Unknown 125","","1131.8","134","","","","","","","","1543.9","137.99"
"Unknown 126","","1133.8","174","","","","","","","","1545.8","386.23"
"Unknown 127","","1134.8","218","","","","","","","","1546.8","337.28"
"Unknown 128","","1139.2","146","","","","","","","","1551.0","221.97"
"Unknown 129","","1139.6","205","","","","","","","","1551.4","1713.9"
"Unknown 13","","477.6","168","","","","","","","","1065.0","93.562"
"Unknown 130","","1140.4","143","","","","","","","","1552.2","253.96"
"Unknown 131","","1143.6","218","","","","","","","","1555.2","2062.9"
"Unknown 132","","1145.8","202","","","","","","","","1557.4","170.45"
"Unknown 133","","1147.4","91","","","","","","","","1558.9","237.55"
"Unknown 134","","1161.8","185","","","","","","","","1572.8","62.182"
"Unknown 135","","1162.6","114","","","","","","","","1573.5","735.54"
"Unknown 136","","1164","202","","","","","","","","1574.9","294.94"
"Unknown 137","","1167.6","129","","","","","","","","1578.3","113.01"
"Unknown 138","","1168.8","198","","","","","","","","1579.5","271.63"
"Unknown 139","","1169.2","110","","","","","","","","1579.9","61.028"
"Unknown 14","","492.4","178","","","","","","","","1074.8","17.394"
"Unknown 140","","1173.8","142","","","","","","","","1584.3","1533.3"
"Unknown 141","","1175.4","71","","","","","","","","1585.9","49.278"
"Unknown 142","","1184.2","71","","","","","","","","1594.3","186.63"
"Unknown 143","","1189.2","188","","","","","","","","1599.1","930.29"
"Unknown 144","","1190.6","211","","","","","","","","1600.5","844.19"
"Unknown 145","","1194.2","274","","","","","","","","1603.9","328.32"
"Unknown 146","","1201","274","","","","","","","","1610.5","37.778"
"Unknown 147","","1211.8","246","","","","","","","","1620.9","5398.2"
"Unknown 148","","1216.2","218","","","","","","","","1625.1","10482"
"Unknown 149","","1218.8","174","","","","","","","","1627.6","183.73"
"Unknown 15","","509.8","72","","","","","","","","1086.5","2409.6"
