"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1401.2","273","1397.2,4612","1406.8,4671","867","273","609.58","2958431","","1819.4","599.88"
"#Citrate_275_heavy","#Citrate_275_heavy","1401.2","273","1400.6,4176","1402,4186","890","275","68.345","120665","","1819.4","599.88"
"#Fumarate_247_heavy","#Fumarate_245_light","903.6","245","899.8,4426","908.6,4466","890","245","676.40","1839348","","1365.1","660.19"
"#Fumarate_247_heavy","#Fumarate_247_heavy","903.6","245","901.2,4340","907,4366","995","247","48.082","138834","","1365.1","660.19"
"#Malate_245_light","#Malate_245_light","1069.4","233","1066,4405","1073.8,4933","963","245","425.17","1417723","","1487.6","588.06"
"#Malate_245_light","#Malate_247_heavy","1069.4","233","1066.4,4281","1072.8,4360","966","247","47.722","167769","","1487.6","588.06"
"#Sorbitol_323","#Sorbitol_319","1490.8","319","1488.6,22956","1492.8,27507","683","319","569.75","1217730","BaselineModified","1927.4","636.68"
"#Sorbitol_323","#Sorbitol_323","1490.8","319","1490.6,574194","1491,566120","683","323","40.818","20691","","1927.4","636.68"
"#Succinate_249_heavy","#Succinate_247_light","854.6","147","852.4,4342","857.6,4392","885","247","26.734","87711","","1329.0","54.005"
"#Succinate_249_heavy","#Succinate_249_heavy","854.6","147","853.2,5347","856.6,4926","862","249","2.9278","6716.3","","1329.0","54.005"
"Unknown 1","","350.4","77","","","","","","","","980.12","720.93"
"Unknown 10","","367.4","77","","","","","","","","991.46","119.99"
"Unknown 100","","1075.4","147","","","","","","","","1492.0","52.442"
"Unknown 101","","1076","163","","","","","","","","1492.5","261.99"
"Unknown 102","","1086.2","71","","","","","","","","1500.0","4523.0"
"Unknown 103","","1086.8","156","","","","","","","","1500.6","92.579"
"Unknown 104","","1090.4","116","","","","","","","","1504.0","142.59"
"Unknown 105","","1090.8","159","","","","","","","","1504.4","360.26"
"Unknown 106","","1091.8","174","","","","","","","","1505.4","89.895"
"Unknown 107","","1093.8","205","","","","","","","","1507.3","248.60"
"Unknown 108","","1097.6","195","","","","","","","","1511.0","132.35"
"Unknown 109","","1101","233","","","","","","","","1514.2","28.986"
"Unknown 11","","374.4","117","","","","","","","","996.13","58.754"
"Unknown 110","","1101.4","176","","","","","","","","1514.6","1824.3"
"Unknown 111","","1103","217","","","","","","","","1516.2","132.81"
"Unknown 112","","1105.4","157","","","","","","","","1518.5","15502"
"Unknown 113","","1107.6","187","","","","","","","","1520.6","55.067"
"Unknown 114","","1108","232","","","","","","","","1521.0","2320.7"
"Unknown 115","","1112.6","140","","","","","","","","1525.4","305.78"
"Unknown 116","","1116.4","174","","","","","","","","1529.1","66.890"
"Unknown 117","","1121.8","155","","","","","","","","1534.3","1713.5"
"Unknown 118","","1122.6","84","","","","","","","","1535.0","1096.5"
"Unknown 119","","1126","97","","","","","","","","1538.3","70.415"
"Unknown 12","","380.2","77","","","","","","","","1000.0","79.203"
"Unknown 120","","1132","134","","","","","","","","1544.1","238.97"
"Unknown 121","","1133","84","","","","","","","","1545.0","1181.7"
"Unknown 122","","1136.8","292","","","","","","","","1548.7","66.785"
"Unknown 123","","1137.4","120","","","","","","","","1549.3","385.36"
"Unknown 124","","1139.6","205","","","","","","","","1551.4","4161.0"
"Unknown 125","","1146","218","","","","","","","","1557.6","922.12"
"Unknown 126","","1151.6","120","","","","","","","","1562.9","375.04"
"Unknown 127","","1164.8","114","","","","","","","","1575.6","325.96"
"Unknown 128","","1168.6","129","","","","","","","","1579.3","213.72"
"Unknown 129","","1169.8","198","","","","","","","","1580.5","396.94"
"Unknown 13","","381.4","221","","","","","","","","1000.8","47.317"
"Unknown 130","","1174.4","142","","","","","","","","1584.9","447.46"
"Unknown 131","","1175.8","71","","","","","","","","1586.2","51.236"
"Unknown 132","","1185.2","71","","","","","","","","1595.3","484.49"
"Unknown 133","","1187.4","357","","","","","","","","1597.4","113.24"
"Unknown 134","","1189.4","188","","","","","","","","1599.3","725.53"
"Unknown 135","","1190.2","369","","","","","","","","1600.1","1550.5"
"Unknown 136","","1194.6","71","","","","","","","","1604.3","151.59"
"Unknown 137","","1211.2","246","","","","","","","","1620.3","9254.0"
"Unknown 138","","1217.2","218","","","","","","","","1626.1","6387.6"
"Unknown 139","","1245.6","276","","","","","","","","1653.4","127.76"
"Unknown 14","","381.8","71","","","","","","","","1001.1","1219.8"
"Unknown 140","","1250.2","158","","","","","","","","1657.8","896.81"
"Unknown 141","","1253.8","451","","","","","","","","1661.3","1006.6"
"Unknown 142","","1255.2","290","","","","","","","","1662.7","74.774"
"Unknown 143","","1257.4","174","","","","","","","","1664.8","623.67"
"Unknown 144","","1258","275","","","","","","","","1665.4","132.26"
"Unknown 145","","1259.6","140","","","","","","","","1666.9","163.25"
"Unknown 146","","1267.4","127","","","","","","","","1674.4","52.859"
"Unknown 147","","1271.8","104","","","","","","","","1678.6","265.92"
"Unknown 148","","1283.4","277","","","","","","","","1689.8","375.86"
"Unknown 149","","1290.4","275","","","","","","","","1696.5","117.57"
"Unknown 15","","387","117","","","","","","","","1004.5","76.156"
"Unknown 150","","1291.2","123","","","","","","","","1697.3","397.25"
"Unknown 151","","1292.6","206","","","","","","","","1698.7","1307.7"
"Unknown 152","","1294","71","","","","","","","","1700.0","4125.8"
"Unknown 153","","1301.8","160","","","","","","","","1708.7","119.20"
"Unknown 154","","1303.6","242","","","","","","","","1710.7","91.088"
"Unknown 155","","1306","155","","","","","","","","1713.4","68.681"
"Unknown 156","","1325","174","","","","","","","","1734.5","1885.7"
"Unknown 157","","1327.6","220","","","","","","","","1737.4","857.34"
"Unknown 158","","1329.8","217","","","","","","","","1739.9","324.13"
"Unknown 159","","1335.4","117","","","","","","","","1746.1","55.500"
"Unknown 16","","388.6","71","","","","","","","","1005.6","637.26"
"Unknown 160","","1339.4","229","","","","","","","","1750.6","146.94"
"Unknown 161","","1343.2","145","","","","","","","","1754.8","27.860"
"Unknown 162","","1351.2","153","","","","","","","","1763.7","79.376"
"Unknown 163","","1352.4","299","","","","","","","","1765.0","80.770"
