Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,6739504.0,5991996.0,5445442.0,3274372.0,5341149.0,5479298.0,5377106.0,3600801.0,4170695.0,3799192.0,2743522.0,3210910.0,3860185.0,4643001.0,4314511.0,5095461.0,5624465.0,537886.0,271628.0,514019.0,184992.0,1269622.0,924329.0,410469.0,1163230.0,4199639.0,2997519.0,1526471.0,3224570.0,3175868.0,4444666.0,2805751.0,4230934.0,3870003.0,3911864.0,4419882.0,86.0 248.0 174.0 133.0 100.0 
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D,1.3599613E7,1.4122965E7,1.0589412E7,1.1685942E7,1.3916798E7,1.5121021E7,1.513735E7,1.3238226E7,1.7241522E7,1.3141325E7,1.2532771E7,2.1301055E7,1.8855134E7,1.9514274E7,1.7167945E7,1.1978975E7,1.4542368E7,1.9330846E7,1.7232825E7,1.892484E7,1.6557334E7,2.0569172E7,2.3408589E7,1.667252E7,1.9514327E7,2.5547877E7,2.6357678E7,2.5594768E7,2.9440966E7,1.8632432E7,2.6923988E7,1.801377E7,1.4151603E7,1.3220429E7,1.4205639E7,1.2098753E7,101.0 133.0 117.0 149.0 233.0 245.0 247.0 249.0 
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D,4.8468108E7,5.0655464E7,4.3434974E7,5.1954136E7,2.6141066E7,5.1305436E7,5.5613358E7,5.2540914E7,5.7549344E7,3.2329677E7,1.847235E7,2.2266458E7,2.7738598E7,2.9130492E7,4.5835792E7,1.05198299E8,9999602.0,NA,NA,NA,NA,NA,NA,NA,3.0745547E7,6.0895118E7,7.4552893E7,5.6256129E7,1.7630114E7,7.4661912E7,1.23708535E8,6.178255E7,6.7123523E7,1.01026643E8,9.6878579E7,7.888546E7,128.0 177.0 100.0 129.0 176.0 
Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D,7.73957121E8,8.99172783E8,1.390675256E9,7.87855892E8,1.124933441E9,1.442520237E9,1.648534912E9,1.244616492E9,1.530931797E9,1.219075716E9,9.41154398E8,1.15331314E9,1.152458254E9,1.337366945E9,1.515302739E9,1.220994787E9,1.10968827E9,6.03879582E8,4.03743197E8,2.50470871E8,1.87507789E8,2.10174003E8,5.87947865E8,1.28979518E8,1.109440255E9,1.645290574E9,1.892336804E9,1.412849308E9,1.558012526E9,1.420795201E9,2.135876101E9,1.096702478E9,1.128469965E9,1.53730469E9,1.399282265E9,1.238357402E9,157.0 258.0 158.0 156.0 230.0 160.0 159.0 263.0 162.0 234.0 
Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C,5.6267E7,5.902219E7,6.3413153E7,6.2716266E7,1.11179077E8,9.226737E7,9.7943697E7,7.9879321E7,8.1054195E7,9.1667616E7,8.2771405E7,1.07592944E8,1.13970256E8,1.25655623E8,1.08813566E8,9.0445376E7,1.007691E7,NA,NA,NA,NA,NA,NA,NA,NA,6.4639415E7,8.714365E7,2.8769423E7,1.01994869E8,4.3564043E7,1.23043838E8,8.0742938E7,9.4545486E7,9.5305316E7,9.6619426E7,1.03631428E8,233.0 100.0 218.0 232.0 117.0 220.0 235.0 119.0 102.0 
Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B,2.7498303E7,1.6165689E7,NA,3.1335509E7,2.8597978E7,2.4704345E7,NA,3.5330135E7,1.3814781E7,4.3465808E7,2.2896613E7,3.0735127E7,3.380084E7,5.3743548E7,3.4849788E7,3.0745316E7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6667641E7,1.9203391E7,1.498081E7,5.8501347E7,3.7980853E7,6.0354456E7,3.9019148E7,4.3441806E7,4.7053518E7,4.3490876E7,3.9817021E7,170.0 98.0 240.0 100.0 254.0 
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B,1.7746888E7,1.2364849E7,2.3619002E7,2.7411151E7,2.7745374E7,4.5458918E7,5.7653906E7,3.4577098E7,2.0056532E7,1.6024385E7,1.2411889E7,1.4108683E7,1.936651E7,3.2339688E7,1.6852352E7,1.7042644E7,1.7146736E7,NA,NA,NA,NA,NA,NA,NA,9406588.0,4.9077513E7,2.990066E7,2.4454596E7,2.3649854E7,1.9872051E7,4.0281389E7,4.1435058E7,3.3791158E7,4.8493125E7,2.2546495E7,3.3305295E7,174.0 156.0 158.0 140.0 186.0 178.0 162.0 144.0 191.0 
Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C,3.0875138E7,3.1772945E7,3.7147373E7,7.2351283E7,9.0219808E7,6.4385498E7,2.6632816E7,8.5182349E7,2.395111E7,3.2126897E7,1.4138481E7,3.3972152E7,4.3914676E7,8.6242826E7,3.0931213E7,1.3862682E7,2.00381603E8,2.64211368E8,2.83268446E8,1.23966326E8,2.8016391E8,3.21633261E8,1.4471434E8,1.08516785E8,1.61311835E8,1.27095582E8,1.75600476E8,1.51835809E8,1.31752588E8,NA,1.85525134E8,9.360259E7,7.9017861E7,1.56036189E8,1.24548907E8,5.0650743E7,120.0 130.0 91.0 103.0 146.0 
Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C,NA,NA,9105335.0,NA,NA,2.0207561E7,2.6864163E7,1.7160728E7,1.7242395E7,1.3082098E7,9296851.0,9596586.0,NA,NA,1.7347479E7,2.0354751E7,2922644.0,NA,3649014.0,2272092.0,3046938.0,NA,NA,NA,4138667.0,5180361.0,NA,6330028.0,NA,NA,1.9460441E7,NA,NA,NA,NA,NA,115.0 171.0 100.0 143.0 116.0 
Cysteine_(3TMS)_MP_RI:1554_IDENT:B+D,1.1289712E7,3644368.0,8265478.0,1.2545253E7,2.7432823E7,3.839046E7,5.1833768E7,3.8266555E7,5.9767344E7,3.2264478E7,1.6589819E7,2.2205075E7,3.0130682E7,3.395421E7,3.8105083E7,4.3295507E7,4614770.0,NA,NA,NA,NA,NA,NA,NA,2348790.0,9873920.0,1.0952113E7,1.0999202E7,1.8573662E7,3.1005067E7,5.1428969E7,2.2308547E7,2.4726393E7,4.2739559E7,3.7619781E7,3.2374757E7,116.0 100.0 132.0 218.0 220.0 
