Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D,1.3738201155293584E7,1.2840383653164104E7,2.3609558879996777E7,1.0386877628431827E7,1.6288791585577276E7,1.5759515505208395E7,3.832313252605186E7,1.989101935190227E7,3.2306370168293886E7,1.576033334194588E7,3.675466337564824E7,6.025934493601845E7,1.9890742485940684E7,2.371562700130339E7,2.0478404315055065E7,5.823119922676422E7,2380644.9648335613,NA,NA,NA,NA,NA,590550.4190802062,NA,2265066.8148277015,1.266432899351458E7,4673628.900161115,3717213.184756569,2759008.224917172,2682842.9920665314,6704332.578154641,6837001.528789074,1.0253004162686672E7,1.654456607788523E7,2.1905320058464684E7,1.3211010233083274E7,86.0 130.0 175.0 100.0 174.0 
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B,NA,NA,3029758.5132149053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500781.9761331707,484310.64431895834,NA,NA,NA,103.0 299.0 142.0 89.0 133.0 400.0 403.0 
Aconitic acid_ cis-_(3TMS)_MP_RI:1747_IDENT:A+D,1279946.3683777638,662096.6075820938,756435.7713693053,NA,NA,NA,NA,NA,NA,NA,NA,1758542.5797099015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699005.9409661527,NA,NA,NA,NA,910982.0294861381,387520.31362760515,1396002.1164118405,1110523.8371410093,NA,652888.3001999833,97.0 133.0 211.0 229.0 149.0 
Ornithine_(3TMS)_MP_RI:1748_IDENT:B+D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,951240.1563840067,2244536.848299727,439999.31621869333,157898.24278635063,174000.1110370487,NA,774137.421311745,303289.70523440966,NA,NA,578467.5777941887,697805.1016370038,564606.4010321434,NA,NA,NA,731392.4483896857,408989.19285903726,750356.5757964889,1917800.0833807879,2685298.9543757094,1342266.2484110931,86.0 142.0 186.0 100.0 174.0 
Dihydroxyacetone phosphate_(1MEOX)(3TMS)_BP_RI:1751_IDENT:A+B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524882.0554903661,NA,NA,NA,NA,NA,NA,NA,609954.024633236,2237890.6538791857,NA,1081972.8815125995,557761.4217709404,5552610.84482677,1324127.5195115476,1057589.550791011,NA,2129933.7466786304,2424132.3632807215,NA,133.0 103.0 142.0 89.0 315.0 400.0 403.0 
Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C,3444740.6101690046,4983046.194034014,6737886.177143223,3356646.9800698897,4861440.477861309,3417957.231910257,1.0167013088464055E7,7372840.477653427,1.0562712233773258E7,5167270.775767303,1.5191554802335542E7,1.4731681215395207E7,5402990.330817418,5978691.963921188,5619291.869347123,1.1267425669372754E7,4507876.909688101,578130.9286920544,286511.8472251415,284828.59438762267,1059677.7579583577,2440454.6883151815,1553576.7603184811,333777.26545154204,1886406.384249652,1.147571676026688E7,5341472.761846144,5418599.973248783,7736495.364570693,6583563.729666718,6099760.296104827,3827792.392084119,7084188.405898847,1.1954412062649282E7,7898843.858936687,2.377568022908359E7,101.0 299.0 133.0 357.0 103.0 359.0 
Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D,2571823.435531563,839958.9420398658,540469.0533778894,597363.3419084185,663765.6440801712,NA,4653783.627785934,968718.2083562342,2227946.2142583635,1.54560121751426E7,1993672.6096170552,3007327.4311110624,1051071.593893252,922534.1228093246,536129.7125693321,5.939086647344732E7,NA,NA,NA,NA,NA,166374.72374471318,179985.0600768272,NA,217430.45477618504,2345715.090506271,648539.9139859694,581781.6877733567,1756950.5253990076,823043.3975869354,1521618.9181615128,1148945.9275029416,1791614.8668151593,2576261.370213164,2852973.465788419,1670314.394527563,128.0 155.0 156.0 100.0 157.0 160.0 
Glutamic acid_ N-acetyl-_(2TMS)_MP_RI:1781_IDENT:B+C,1101375.666654926,699523.7066081198,894605.3394699006,386160.98177867336,506239.60642225854,764190.5466607846,1106633.6079208492,816567.3449548762,1028312.8064006203,458925.67567527224,NA,1698074.7069073338,NA,662786.6409596847,NA,1557585.4264690094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017112.8902061019,1180781.0694969846,NA,216.0 116.0 158.0 126.0 156.0 
Glucose_ 2-deoxy-_(1MEOX)(4TMS)_MP_RI:1785_IDENT:C+D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905317.8701445041,625080.0581857656,764505.1181964837,523060.12165949,4494910.130879765,2005647.160854884,2368130.9002497317,3810063.4773503495,4846421.6308340235,1.703498117180792E7,6587198.523112839,6951640.31975748,899749.1390662274,9677400.917642808,1.1027784934871817E7,8652406.354974102,1.2802705843353596E7,2.5044705461195793E7,2.880422316483526E7,1.672918766669846E7,117.0 103.0 105.0 217.0 133.0 
Glyceric acid-3-phosphate_(4TMS)_MP_RI:1802_IDENT:B+D,1.1562333528586728E7,3227639.417534107,2927889.163874411,990515.6518633437,619419.1462524938,NA,1069168.434514459,820800.3042500564,833617.5546167762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2340566.51301699,NA,NA,NA,NA,NA,2167699.7504326953,671281.4726856772,NA,NA,632204.4446217017,576991.3142539213,725463.9598211779,211.0 227.0 299.0 101.0 133.0 357.0 359.0 
